-------> THIS IS THE IForest METHOD REPORT <----------

fileName:001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620, AUC:0.82, R_AUC:0.83, Precision:0.22, Recall:0.69, F:0.33, ExistenceReward:1.00, OverlapReward:0.69, AP:0.46, R_AP:0.44, Precisionk:0.69, R_precision:0.01, R_recall:0.75, R_f:0.03, tn_count:77610, fn_count:192, fp_count:1564, tp_count:429, elapsed_time:1.6465659141540527 seconds
fileName:002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900, AUC:0.08, R_AUC:0.18, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:77730, fn_count:301, fp_count:1970, tp_count:0, elapsed_time:1.661583423614502 seconds
fileName:003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900, AUC:0.75, R_AUC:0.73, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:77696, fn_count:301, fp_count:2003, tp_count:0, elapsed_time:1.6027557849884033 seconds
fileName:004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600, AUC:0.82, R_AUC:0.89, Precision:0.53, Recall:0.31, F:0.39, ExistenceReward:1.00, OverlapReward:0.06, AP:0.3, R_AP:0.49, Precisionk:0.31, R_precision:0.31, R_recall:0.25, R_f:0.28, tn_count:10745, fn_count:139, fp_count:54, tp_count:62, elapsed_time:0.46683311462402344 seconds
fileName:005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392, AUC:0.43, R_AUC:0.7, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:8072, fn_count:2, fp_count:110, tp_count:0, elapsed_time:0.36494970321655273 seconds
fileName:006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727, AUC:0.90, R_AUC:0.81, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:8102, fn_count:25, fp_count:57, tp_count:0, elapsed_time:0.37999987602233887 seconds
fileName:007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544, AUC:0.51, R_AUC:0.55, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:8075, fn_count:25, fp_count:84, tp_count:0, elapsed_time:0.3943648338317871 seconds
fileName:008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597, AUC:0.90, R_AUC:0.88, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.03, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:8030, fn_count:49, fp_count:105, tp_count:0, elapsed_time:0.3353304862976074 seconds
fileName:009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900, AUC:0.65, R_AUC:0.78, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:8065, fn_count:49, fp_count:70, tp_count:0, elapsed_time:0.3513014316558838 seconds
fileName:010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054, AUC:0.49, R_AUC:0.59, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:8048, fn_count:49, fp_count:87, tp_count:0, elapsed_time:0.3495304584503174 seconds
fileName:011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100, AUC:0.91, R_AUC:0.89, Precision:0.16, Recall:0.33, F:0.21, ExistenceReward:1.00, OverlapReward:0.08, AP:0.27, R_AP:0.23, Precisionk:0.33, R_precision:0.07, R_recall:0.27, R_f:0.11, tn_count:29166, fn_count:202, fp_count:533, tp_count:99, elapsed_time:0.6993222236633301 seconds
fileName:012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100, AUC:0.85, R_AUC:0.9, Precision:0.01, Recall:0.06, F:0.02, ExistenceReward:1.00, OverlapReward:0.03, AP:0.02, R_AP:0.03, Precisionk:0.06, R_precision:0.05, R_recall:0.22, R_f:0.08, tn_count:29279, fn_count:95, fp_count:620, tp_count:6, elapsed_time:0.7050511837005615 seconds
fileName:013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100, AUC:0.00, R_AUC:0.13, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29740, fn_count:101, fp_count:159, tp_count:0, elapsed_time:0.7537026405334473 seconds
