-------> THIS IS THE LOF METHOD REPORT <----------

fileName:001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620, AUC:0.38, R_AUC:0.46, Precision:0.03, Recall:0.08, F:0.05, ExistenceReward:1.00, OverlapReward:0.08, AP:0.01, R_AP:0.02, Precisionk:0.08, R_precision:0.02, R_recall:0.26, R_f:0.03, tn_count:77712, fn_count:571, fp_count:1462, tp_count:50, elapsed_time:18.584447860717773 seconds
fileName:002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900, AUC:0.54, R_AUC:0.8, Precision:0.08, Recall:0.35, F:0.13, ExistenceReward:1.00, OverlapReward:0.18, AP:0.04, R_AP:0.07, Precisionk:0.35, R_precision:0.03, R_recall:0.34, R_f:0.05, tn_count:78412, fn_count:195, fp_count:1288, tp_count:106, elapsed_time:16.354685068130493 seconds
fileName:003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900, AUC:1.00, R_AUC:0.99, Precision:0.22, Recall:0.93, F:0.36, ExistenceReward:1.00, OverlapReward:0.93, AP:0.28, R_AP:0.24, Precisionk:0.93, R_precision:0.02, R_recall:0.95, R_f:0.04, tn_count:78715, fn_count:20, fp_count:984, tp_count:281, elapsed_time:18.97384524345398 seconds
fileName:004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600, AUC:0.77, R_AUC:0.85, Precision:0.45, Recall:0.33, F:0.38, ExistenceReward:1.00, OverlapReward:0.17, AP:0.27, R_AP:0.44, Precisionk:0.33, R_precision:0.55, R_recall:0.33, R_f:0.41, tn_count:10717, fn_count:134, fp_count:82, tp_count:67, elapsed_time:0.38080906867980957 seconds
fileName:005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392, AUC:1.00, R_AUC:1.0, Precision:0.01, Recall:1.00, F:0.02, ExistenceReward:1.00, OverlapReward:1.00, AP:0.1, R_AP:0.18, Precisionk:1.00, R_precision:0.00, R_recall:1.00, R_f:0.01, tn_count:8011, fn_count:0, fp_count:171, tp_count:2, elapsed_time:0.3181571960449219 seconds
fileName:006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727, AUC:0.97, R_AUC:0.97, Precision:0.05, Recall:0.36, F:0.09, ExistenceReward:1.00, OverlapReward:0.18, AP:0.05, R_AP:0.07, Precisionk:0.36, R_precision:0.05, R_recall:0.34, R_f:0.08, tn_count:8002, fn_count:16, fp_count:157, tp_count:9, elapsed_time:0.24873876571655273 seconds
fileName:007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544, AUC:0.97, R_AUC:0.99, Precision:0.08, Recall:0.44, F:0.13, ExistenceReward:1.00, OverlapReward:0.22, AP:0.2, R_AP:0.42, Precisionk:0.44, R_precision:0.04, R_recall:0.38, R_f:0.07, tn_count:8025, fn_count:14, fp_count:134, tp_count:11, elapsed_time:0.2742748260498047 seconds
fileName:008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597, AUC:0.94, R_AUC:0.96, Precision:0.34, Recall:0.84, F:0.48, ExistenceReward:1.00, OverlapReward:0.84, AP:0.7, R_AP:0.68, Precisionk:0.84, R_precision:0.05, R_recall:0.87, R_f:0.10, tn_count:8055, fn_count:8, fp_count:80, tp_count:41, elapsed_time:0.2964930534362793 seconds
fileName:009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900, AUC:0.93, R_AUC:0.96, Precision:0.08, Recall:0.29, F:0.13, ExistenceReward:1.00, OverlapReward:0.14, AP:0.06, R_AP:0.12, Precisionk:0.29, R_precision:0.05, R_recall:0.31, R_f:0.09, tn_count:7977, fn_count:35, fp_count:158, tp_count:14, elapsed_time:0.25576281547546387 seconds
fileName:010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054, AUC:0.97, R_AUC:0.98, Precision:0.11, Recall:0.24, F:0.15, ExistenceReward:1.00, OverlapReward:0.12, AP:0.14, R_AP:0.38, Precisionk:0.24, R_precision:0.03, R_recall:0.30, R_f:0.06, tn_count:8033, fn_count:37, fp_count:102, tp_count:12, elapsed_time:0.24145770072937012 seconds
fileName:011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100, AUC:0.98, R_AUC:1.0, Precision:0.80, Recall:0.80, F:0.80, ExistenceReward:1.00, OverlapReward:0.40, AP:0.82, R_AP:0.79, Precisionk:0.80, R_precision:0.17, R_recall:0.52, R_f:0.25, tn_count:29637, fn_count:60, fp_count:62, tp_count:241, elapsed_time:2.2505927085876465 seconds
