-------> THIS IS THE SAND METHOD REPORT <----------

fileName:001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620, AUC:0.87, R_AUC:0.87, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.03, R_AP:0.04, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:77903, fn_count:621, fp_count:1271, tp_count:0, elapsed_time:68.19581174850464 seconds
fileName:002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900, AUC:0.96, R_AUC:0.96, Precision:0.07, Recall:0.29, F:0.11, ExistenceReward:1.00, OverlapReward:0.29, AP:0.05, R_AP:0.06, Precisionk:0.29, R_precision:0.06, R_recall:0.43, R_f:0.10, tn_count:78491, fn_count:214, fp_count:1209, tp_count:87, elapsed_time:44.35728669166565 seconds
fileName:003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900, AUC:0.76, R_AUC:0.76, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:78277, fn_count:301, fp_count:1422, tp_count:0, elapsed_time:34.31613326072693 seconds
fileName:004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600, AUC:0.90, R_AUC:0.88, Precision:0.51, Recall:0.53, F:0.52, ExistenceReward:1.00, OverlapReward:0.53, AP:0.39, R_AP:0.34, Precisionk:0.53, R_precision:0.50, R_recall:0.63, R_f:0.56, tn_count:10698, fn_count:94, fp_count:101, tp_count:107, elapsed_time:1.866539716720581 seconds
fileName:005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392, AUC:0.97, R_AUC:0.97, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:8024, fn_count:2, fp_count:158, tp_count:0, elapsed_time:1.342907190322876 seconds
fileName:006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727, AUC:0.96, R_AUC:0.95, Precision:0.09, Recall:0.48, F:0.15, ExistenceReward:1.00, OverlapReward:0.48, AP:0.06, R_AP:0.06, Precisionk:0.48, R_precision:0.11, R_recall:0.58, R_f:0.19, tn_count:8039, fn_count:13, fp_count:120, tp_count:12, elapsed_time:1.1401710510253906 seconds
fileName:007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544, AUC:0.98, R_AUC:0.97, Precision:0.09, Recall:0.56, F:0.15, ExistenceReward:1.00, OverlapReward:0.56, AP:0.07, R_AP:0.07, Precisionk:0.56, R_precision:0.10, R_recall:0.65, R_f:0.18, tn_count:8009, fn_count:11, fp_count:150, tp_count:14, elapsed_time:1.4575631618499756 seconds
fileName:008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597, AUC:0.93, R_AUC:0.94, Precision:0.14, Recall:0.45, F:0.21, ExistenceReward:1.00, OverlapReward:0.22, AP:0.08, R_AP:0.08, Precisionk:0.45, R_precision:0.25, R_recall:0.38, R_f:0.30, tn_count:7999, fn_count:27, fp_count:136, tp_count:22, elapsed_time:1.3810570240020752 seconds
fileName:009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900, AUC:0.99, R_AUC:0.99, Precision:0.24, Recall:0.92, F:0.38, ExistenceReward:1.00, OverlapReward:0.92, AP:0.55, R_AP:0.49, Precisionk:0.92, R_precision:0.11, R_recall:0.93, R_f:0.19, tn_count:7989, fn_count:4, fp_count:146, tp_count:45, elapsed_time:1.4504213333129883 seconds
fileName:010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054, AUC:0.99, R_AUC:0.99, Precision:0.24, Recall:0.90, F:0.38, ExistenceReward:1.00, OverlapReward:0.45, AP:0.35, R_AP:0.36, Precisionk:0.90, R_precision:0.20, R_recall:0.56, R_f:0.30, tn_count:7999, fn_count:5, fp_count:136, tp_count:44, elapsed_time:1.3450894355773926 seconds
fileName:011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100, AUC:0.96, R_AUC:0.96, Precision:0.12, Recall:0.44, F:0.19, ExistenceReward:1.00, OverlapReward:0.44, AP:0.11, R_AP:0.11, Precisionk:0.44, R_precision:0.10, R_recall:0.55, R_f:0.17, tn_count:28758, fn_count:169, fp_count:941, tp_count:132, elapsed_time:7.0894856452941895 seconds
fileName:012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100, AUC:0.93, R_AUC:0.93, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:28867, fn_count:101, fp_count:1032, tp_count:0, elapsed_time:10.45382308959961 seconds
fileName:013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100, AUC:1.00, R_AUC:1.0, Precision:0.35, Recall:1.00, F:0.52, ExistenceReward:1.00, OverlapReward:1.00, AP:0.97, R_AP:0.87, Precisionk:1.00, R_precision:0.29, R_recall:1.00, R_f:0.44, tn_count:29715, fn_count:0, fp_count:184, tp_count:101, elapsed_time:6.238461494445801 seconds
fileName:014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100, AUC:0.99, R_AUC:0.99, Precision:0.50, Recall:0.99, F:0.67, ExistenceReward:1.00, OverlapReward:0.99, AP:0.6, R_AP:0.93, Precisionk:0.00, R_precision:0.30, R_recall:0.99, R_f:0.46, tn_count:29800, fn_count:1, fp_count:99, tp_count:100, elapsed_time:4.311779260635376 seconds
fileName:015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100, AUC:0.62, R_AUC:0.78, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:198521, fn_count:301, fp_count:1178, tp_count:0, elapsed_time:295.68907928466797 seconds
fileName:016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100, AUC:1.00, R_AUC:1.0, Precision:0.59, Recall:1.00, F:0.74, ExistenceReward:1.00, OverlapReward:1.00, AP:0.81, R_AP:0.99, Precisionk:1.00, R_precision:0.31, R_recall:1.00, R_f:0.47, tn_count:29660, fn_count:0, fp_count:139, tp_count:201, elapsed_time:4.61832070350647 seconds
fileName:017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100, AUC:0.99, R_AUC:1.0, Precision:0.34, Recall:0.99, F:0.51, ExistenceReward:1.00, OverlapReward:0.99, AP:0.6, R_AP:0.95, Precisionk:0.00, R_precision:0.28, R_recall:0.99, R_f:0.44, tn_count:29704, fn_count:1, fp_count:195, tp_count:100, elapsed_time:5.7367212772369385 seconds
