dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,prepared_dataset_dir,runtime_seconds,score_mean,score_std,error,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,2.38770900000236,0.11736403985371502,0.13572535576962674,,0.375949986104282,0.02525201437667037,0.0,0.0,0.0,0.0,0.5245401071625952,0,6262,190,232,0.0,0.0,0.0,0.0,0.0,0.41475833884531793,0.6591861160981448,115
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,0.08777400001417845,0.1254368487631525,0.1367276244283432,,0.25451892109500807,0.0058027105725860844,0.0,0.0,0.0,0.0,0.5356197220481821,0,6422,202,60,0.0,0.0,0.0,0.0,0.0,0.7551808367551297,0.9864464891282665,115
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,0.08490290000918321,0.13759851070749102,0.15071401571610374,,0.43867846377493214,0.0281484942579111,0.0,0.0,0.0,0.0,0.5897405578558024,0,6254,198,232,0.0,0.0,0.0,0.0,0.0,0.4220571967430137,0.6573988448998122,115
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,0.0945503999828361,0.13457113191512413,0.13980860958453298,,0.25985305958132043,0.005860598659779834,0.0,0.0,0.0,0.0,0.5539969606687232,0,6430,194,60,0.0,0.0,0.0,0.0,0.0,0.7491131306027009,0.9860612407739876,115
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,0.12383430000045337,0.087189159711512,0.0993055018480604,,0.5588971247816439,0.22435356332069162,0.5517241379310345,0.22284122562674094,0.31746031746031744,0.233983286908078,0.38510566525569323,80,6897,65,279,0.5723684210526316,0.2891364902506964,0.38419420300953405,1.0,0.11142061281337047,0.9740378410712687,0.9900910838017395,178
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,0.1851402999891434,0.030206293814758797,0.08615646259646603,,0.6641069426628758,0.2164802421458713,0.5347222222222222,0.21448467966573817,0.3061630218687873,0.24233983286908078,0.28867568160415696,77,6895,67,282,0.564935064935065,0.2857938718662953,0.3795685619155749,1.0,0.10724233983286909,0.972926057460274,0.9898861937593955,178
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,0.1264964999863878,0.0424701772383636,0.10348418154218963,,0.883958815684527,0.4255681048647948,0.6256410256410256,0.7134502923976608,0.6666666666666666,0.5847953216374269,0.35292272186493256,122,7171,73,49,0.682608695652174,0.48538011695906436,0.5673422295752879,1.0,0.3567251461988304,0.9876812421114511,0.9991143288655444,173
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,0.22760400001425296,0.0643101079126727,0.08930666754181137,,0.8459382396724371,0.5285233441952719,0.6463414634146342,0.6198830409356725,0.6328358208955224,0.6491228070175439,0.33223011053810686,106,7186,58,65,0.7070707070707071,0.447953216374269,0.5484468174332853,1.0,0.30994152046783624,0.9890778415538707,0.9978713923491579,173
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,0.14254369999980554,0.13858287016422632,0.1332888397504141,,0.9982570940086838,0.9354161137674215,0.4351464435146444,0.9454545454545454,0.5959885386819485,0.8727272727272727,0.5384493894154687,104,7256,135,6,0.12278630460448643,0.9563636363636363,0.21763121566193644,1.0,0.9454545454545454,0.7707106277043116,0.9999563694537699,165
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,0.13583449998986907,0.17857081360146318,0.1633068219633793,,0.7665785168694113,0.039463213584563506,0.0,0.0,0.0,0.0,0.6684912794916011,0,7180,211,110,0.0,0.0,0.0,0.0,0.0,0.41948466902675224,0.9850686575123316,165
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681,144,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,175,7501,83,4200,6599,6681,zscore,datasets\normalized\zscore,0.15745319999405183,0.192241655649687,0.13658024487283343,,0.42335803174953796,0.009161442455789278,0.0,0.0,0.0,0.0,0.6019823902681873,0,7199,219,83,0.0,0.0,0.0,0.0,0.0,0.21316457653439214,0.857485668577523,175
133_UCR_Anomaly_InternalBleeding14_2800_5607_5634,133,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,154,7501,28,2800,5607,5634,zscore,datasets\normalized\zscore,0.1895768000103999,0.02950136407947468,0.10139057082840847,,0.9954072757163885,0.29006589941837313,0.1696969696969697,1.0,0.29015544041450775,0.35714285714285715,0.33367307656470013,28,7336,137,0,0.06572769953051642,1.0,0.12334801762114535,1.0,1.0,0.9891755846695187,1.0,154
132_UCR_Anomaly_InternalBleeding10_3200_4526_4556,132,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,154,7501,31,3200,4526,4556,zscore,datasets\normalized\zscore,0.12927949998993427,0.04817199599235077,0.10602008341932775,,0.9970246577708685,0.5317765535727262,0.2052980132450331,1.0,0.34065934065934067,0.3870967741935484,0.36623224625033407,31,7350,120,0,0.2052980132450331,1.0,0.34065934065934067,1.0,1.0,0.990245892159191,1.0,154
024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556,24,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,154,7501,31,3200,4526,4556,zscore,datasets\normalized\zscore,0.13701020000735298,0.17718476282256893,0.15936759134326417,,0.9635272271883233,0.05243910989993192,0.054878048780487805,0.2903225806451613,0.09230769230769231,0.0,0.6552875368523615,9,7315,155,22,0.017578125,0.4322580645161291,0.03378245889240595,1.0,0.2903225806451613,0.7673513450239154,0.9979185570956131,154
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,36,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,175,7501,83,4200,6599,6681,zscore,datasets\normalized\zscore,0.13258760000462644,0.1772318172259641,0.1442281029154598,,0.32876396391714063,0.007505981233387967,0.0,0.0,0.0,0.0,0.6099161259723436,0,7271,147,83,0.0,0.0,0.0,0.0,0.0,0.4318154404809518,0.9553392880949206,175
025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634,25,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,154,7501,28,2800,5607,5634,zscore,datasets\normalized\zscore,0.12482620001537725,0.06672045372371589,0.11340620678727314,,0.9942602894228747,0.29855910054153567,0.1686746987951807,1.0,0.28865979381443296,0.21428571428571427,0.40693907408553537,28,7335,138,0,0.1686746987951807,1.0,0.288659793814433,1.0,1.0,0.9892432013080986,1.0,154
027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199,27,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,183,7501,13,1200,4187,4199,zscore,datasets\normalized\zscore,0.12626259998069145,0.16689297900843061,0.16073476258180142,,0.846410667324129,0.005708831281590218,0.0,0.0,0.0,0.0,0.649097266753835,0,7308,180,13,0.0,0.0,0.0,0.0,0.0,0.38952880356693187,0.9825356619117451,183
028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309,28,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,183,7500,112,1600,3198,3309,zscore,datasets\normalized\zscore,0.14736160001484677,0.08023761942801486,0.1307143457267231,,1.0,0.9999999999999998,0.5925925925925926,1.0,0.7441860465116279,1.0,0.4723806566081843,112,7311,77,0,0.5925925925925926,1.0,0.7441860465116279,1.0,1.0,0.9918243386243386,1.0,183
031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,31,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,183,7500,161,2700,5759,5919,zscore,datasets\normalized\zscore,0.17508690000977367,0.10100410879085885,0.09477759995281594,,0.7049829084640129,0.07488093455820471,0.06280193236714976,0.08074534161490683,0.07065217391304347,0.07453416149068323,0.38533690864930675,13,7145,194,148,0.2,0.2645962732919255,0.22780748663101605,1.0,0.08074534161490683,0.2194734299516908,0.9899813664596273,183
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,30,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,183,7500,11,3000,4187,4197,zscore,datasets\normalized\zscore,0.12411010000505485,0.1222951542587163,0.1299910850639799,,0.9924859490889669,0.08926179141910348,0.05913978494623656,1.0,0.1116751269035533,0.0,0.5122684094506561,11,7314,175,0,0.015027322404371584,1.0,0.029609690444145357,1.0,1.0,0.9798964157706093,1.0,183
139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,139,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,183,7500,161,2700,5759,5919,zscore,datasets\normalized\zscore,0.14202339999610558,0.028396924817368375,0.05267208489797463,,0.562421979402139,0.033834909124777046,0.175,0.08695652173913043,0.11618257261410789,0.09937888198757763,0.1864131795112923,14,7273,66,147,0.3333333333333333,0.26956521739130435,0.29807692307692313,1.0,0.08695652173913043,0.9721966666666667,0.9922186335403727,183
029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,29,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,183,7500,103,2300,4485,4587,zscore,datasets\normalized\zscore,0.1282296999997925,0.23200523423298813,0.1707585616469429,,0.8548493157157651,0.044698274871087726,0.0,0.0,0.0,0.0,0.7442809191738169,0,7268,129,103,0.0,0.0,0.0,0.0,0.0,0.1175922480620155,0.9012,183
138_UCR_Anomaly_InternalBleeding19_3000_4187_4197,138,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,183,7500,11,3000,4187,4197,zscore,datasets\normalized\zscore,0.12337369998567738,0.03855035818977065,0.11941344963996303,,0.9998421927918524,0.918560606060606,0.06962025316455696,1.0,0.1301775147928994,0.7272727272727273,0.3967907071096598,11,7342,147,0,0.03618421052631579,1.0,0.06984126984126984,1.0,1.0,0.9891493670886076,1.0,183
