dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,prepared_dataset_dir,runtime_seconds,score_mean,score_std,error,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,0.06305130000691861,0.2531417834589593,0.18124237368389548,,0.7346108263676594,0.06453300310892748,0.0,0.0,0.0,0.0,0.7968689045106458,0,6354,98,232,0.0,0.0,0.0,0.0,0.0,0.34145202066463937,0.779473369239976,115
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,0.07028769998578355,0.2856547787982268,0.2018283075264251,,0.9888134057971014,0.2654138184151872,0.2982456140350877,0.5666666666666667,0.39080459770114945,0.18333333333333332,0.8911397013775022,34,6544,80,26,0.36157735085945397,0.35111111111111115,0.3562673796117056,1.0,0.18888888888888888,0.9487208258527827,0.9995386993816079,115
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,0.053559399995720014,0.2618823229019246,0.17200664788384587,,0.7395785455458879,0.0625006708901467,0.0,0.0,0.0,0.0,0.7779022665534623,0,6347,105,232,0.0,0.0,0.0,0.0,0.0,0.3800760878857827,0.656493117893477,115
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,0.07329359999857843,0.2579666784742784,0.196314546000483,,0.9898324275362318,0.2814572968864427,0.39552238805970147,0.8833333333333333,0.5463917525773195,0.11666666666666667,0.8469103164757275,53,6543,81,7,0.4895833333333333,0.3766666666666667,0.42576559243225914,1.0,0.22083333333333333,0.9566155979527855,0.9999788051067225,115
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,0.07791799999540672,0.06737567826460565,0.11184588938955203,,0.903903922527305,0.7177302021680003,0.8672566371681416,0.5459610027855153,0.67008547008547,0.7214484679665738,0.4029133464332618,196,6932,30,163,0.48756218905472637,0.6367688022284123,0.5522651132864788,1.0,0.5459610027855153,0.9924631892978497,0.9898909497956617,178
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,0.07126680001965724,0.04221064782216754,0.12344316700376909,,0.923807833851733,0.7487431955850828,0.7824427480916031,0.5710306406685237,0.6602254428341385,0.7298050139275766,0.41254014883347484,205,6905,57,154,0.7824427480916031,0.656824512534819,0.714151694631046,1.0,0.5710306406685237,0.987637779429874,0.9909764675130383,178
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,0.07836970000062138,0.024322924796242974,0.09342293253251846,,0.952990738857082,0.7270745559713695,0.6845238095238095,0.672514619883041,0.6784660766961652,0.6842105263157895,0.3045917223937984,115,7191,53,56,0.6845238095238095,0.7380116959064329,0.7102621700851063,1.0,0.672514619883041,0.9904697684873005,0.9975267456120634,173
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,0.10221539999474771,0.05612882371848645,0.08978468279973094,,0.9726173869239637,0.728551673764598,0.7018633540372671,0.6608187134502924,0.6807228915662651,0.695906432748538,0.3254828721176793,113,7196,48,58,0.7018633540372671,0.7286549707602339,0.7150082775571557,1.0,0.6608187134502924,0.9911946155811411,0.9973469299231447,173
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,0.08833930001128465,0.16300775294870948,0.13502767152507453,,0.9936679745636585,0.4867705964336287,0.6190476190476191,0.9454545454545454,0.7482014388489209,0.5545454545454546,0.5680907675239332,104,7327,64,6,0.6190476190476191,0.9563636363636363,0.7515937568696417,1.0,0.9454545454545454,0.9911630830175026,0.9999563694537699,165
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,0.0681023999932222,0.30728880172246936,0.1636575091914058,,0.8959723742635393,0.08881374529943518,0.0,0.0,0.0,0.0,0.7982613292966868,0,7289,102,110,0.0,0.0,0.0,0.0,0.0,0.6264295479556975,0.9834688708172243,165
