dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,prepared_dataset_dir,runtime_seconds,score_mean,score_std,error,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,0.06791670000529848,0.5929499784858733,0.19666416095520994,,0.07035508903948523,0.018095445821334835,0.0,0.0,0.0,0.0,1.1829424613515032,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,0.055251500016311184,0.29031909993506805,0.12096616852265973,,0.9999874194847022,0.9986599011189177,0.4878048780487805,1.0,0.6557377049180327,0.9666666666666667,0.6532176055030473,60,6561,63,0,0.4878048780487805,1.0,0.6557377049180327,1.0,1.0,0.9928855706869456,1.0,115
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,0.05426520001492463,0.6168014394269528,0.1836164578416523,,0.046460466682343896,0.017934549184059158,0.0,0.0,0.0,0.0,1.1676508129519096,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,0.0886746000032872,0.27233349299421455,0.120896188047135,,0.999987419484702,0.9986599011189177,0.4838709677419355,1.0,0.6521739130434783,0.9666666666666667,0.6350220571356195,60,6560,64,0,0.4838709677419355,1.0,0.6521739130434783,1.0,1.0,0.9927776490801334,1.0,115
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,0.13097599998582155,0.4186801555806612,0.18676106711530485,,0.7803776009679286,0.27996137105492147,1.0,0.06963788300835655,0.13020833333333334,0.3147632311977716,0.9789633569265758,25,6962,0,334,1.0,0.25571030640668524,0.4072759538598048,1.0,0.06963788300835655,1.0,0.977791213051781,178
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,0.12705260000075214,0.3560679704840862,0.18604876058371922,,0.7204074006204794,0.3024878367252888,1.0,0.116991643454039,0.20947630922693267,0.2395543175487465,0.914214252235244,42,6962,0,317,1.0,0.2935933147632312,0.4539190353143841,1.0,0.116991643454039,1.0,0.9799770873196844,178
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,0.11919910000870004,0.5745517515314795,0.16935936586665368,,0.29918448338774417,0.01532876861650027,0.0,0.0,0.0,0.0,1.0826298491314406,0,7244,0,171,0.0,0.0,0.0,0.0,0.0,,0.0,173
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,0.3483708999992814,0.5461420676452632,0.17459401635043278,,0.2774685886444438,0.014517408285681148,0.0,0.0,0.0,0.0,1.0699241166965616,0,7244,0,171,0.0,0.0,0.0,0.0,0.0,,0.0,173
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,0.11239100000238977,0.5101415554530232,0.22545163732497153,,0.18409982657039892,0.008563838279128185,0.0,0.0,0.0,0.0,1.186496467427938,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,0.10956260000239126,0.5663157303740037,0.1838679922193386,,0.30931230858169023,0.010018098141352816,0.0,0.0,0.0,0.0,1.1179197070320197,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165
