algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,run_count,success_count,mean_roc_auc,median_roc_auc,mean_average_precision,median_average_precision,mean_precision,mean_recall,mean_f1,median_f1,mean_evaluation_precision,mean_evaluation_recall,mean_evaluation_f1,median_evaluation_f1,mean_precision_at_k,mean_range_precision,mean_range_recall,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds,median_runtime_seconds,success_rate
sand,SAND,Distance-based,Clustering,SAND | Init 3000,Init 3000,sand__tab_03,range,171,0,0.9222065915369289,0.9861643109359266,0.41206763405686686,0.3192328770928654,0.21991529492550618,0.5448563355849197,0.2777799982100797,0.2352941176470588,0.17637376924077672,0.567642034658095,0.2332126606149139,0.1510574018126888,0.3643068795461415,0.17637376924077672,0.567642034658095,0.2332126606149139,0.6727466432694523,0.902661606782953,26.543408512865085,11.105486499989638,0.0
sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,sand__tab_06,range,171,0,0.9076606212950881,0.9886297016260917,0.4108127306106419,0.3255126990394864,0.2282473063852368,0.5542492831756457,0.2847495027007101,0.2717391304347826,0.1760945342719943,0.5676767338734765,0.2310566263239112,0.1639972413343687,0.3659427448988106,0.1760945342719943,0.5676767338734765,0.2310566263239112,0.6886489761467798,0.878685753210705,14.18333380409157,6.116988099995069,0.0
sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,sand__tab_02,range,172,0,0.9118282747000445,0.982831343995882,0.3858275564501175,0.2742120593858903,0.22015894023712823,0.5144496511149004,0.267678067372613,0.21092353525322735,0.1745186507235632,0.542612880661065,0.22805189250375563,0.14099644029618197,0.35423266662541264,0.1745186507235632,0.542612880661065,0.22805189250375563,0.6692307295755294,0.8801333350357656,28.57418314360426,10.747805049977615,0.0
sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,sand__tab_05,range,171,0,0.9149852083410661,0.98544919720554,0.4150935316345045,0.3047706972345755,0.21426825150415976,0.552183200203315,0.27603881387828777,0.2456140350877192,0.16692358687523182,0.5705861072309771,0.22742921432053392,0.1523876041181644,0.3689893262623812,0.16692358687523182,0.5705861072309771,0.22742921432053392,0.6826687315672125,0.8651366820073847,21.48264529941466,6.845607100054622,0.0
sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,sand__tab_07,range,171,0,0.9219719841062164,0.986329884869821,0.410297513631275,0.3047934531722546,0.20870704136470458,0.5452832147357403,0.27219596702641846,0.219047619047619,0.16347970529465183,0.5615591797293683,0.22427945809516595,0.1618798458830804,0.3572655677966113,0.16347970529465183,0.5615591797293683,0.22427945809516595,0.6685553617813873,0.8954437879844999,47.04699205730995,9.98268110002391,0.0
sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,range,172,0,0.9185113702597316,0.9857768773662801,0.41047127387667753,0.31418916712515943,0.20402196075589502,0.5444229727221453,0.2673305681719128,0.2123179359134415,0.16029479523130732,0.5593785167691839,0.21927944827420504,0.14421044113333126,0.3631036679237364,0.16029479523130732,0.5593785167691839,0.21927944827420504,0.665074819228317,0.873983405518627,27.943760446513405,11.0893915000197,0.0
matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,range,171,0,0.8973878260734676,0.9843561519725804,0.3666938410337032,0.3063382533816916,0.2409793775992083,0.6337449407426331,0.31489332909323065,0.2666666666666666,0.15977963892107383,0.6180834055050493,0.20987614841671276,0.0895883777239709,0.34915037941438665,0.15977963892107383,0.6180834055050493,0.20987614841671276,0.7065250717233851,0.9770124351592206,0.6105088052637357,0.3656768999935593,0.0
matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,range,171,0,0.9232317347606033,0.9924022856570112,0.40843958588459556,0.3787789111538131,0.21659153951645174,0.6766517771439805,0.29871516827951217,0.2736156351791531,0.14366812054645278,0.6683169791877811,0.20044052531278092,0.0977777777777777,0.3591395279918775,0.14366812054645278,0.6683169791877811,0.20044052531278092,0.7338392859975624,0.8974409808070246,0.6325456649117779,0.4150315999868326,0.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,range,171,0,0.707302264091363,0.7777366863905326,0.255337390023924,0.1218446832647347,0.2687146820979443,0.36784397401385865,0.26118929629802085,0.1098677517802644,0.19729351652942373,0.38498127962473644,0.19774508271046046,0.0449656202321773,0.26017335352639354,0.19729351652942373,0.38498127962473644,0.19774508271046046,0.7539328649952239,0.9063923130610771,0.715611812279237,0.3571476999786682,0.0
sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,sand__tab_04,range,171,0,0.9046452449514407,0.9741058363427244,0.31951844331592455,0.1842468251222067,0.1819384708153076,0.4216405653031559,0.2176366172930888,0.1350210970464135,0.14911434424082082,0.4457070705254516,0.18773586572245576,0.1043352601156069,0.28204808279914034,0.14911434424082082,0.4457070705254516,0.18773586572245576,0.6422742806529305,0.8349308623936749,23.808374968421038,13.114043699984904,0.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,range,171,0,0.7274391972876922,0.7965335835868348,0.26255346136634056,0.1702502429967345,0.2529017967064209,0.36476737460016523,0.23941322686930838,0.1538461538461538,0.16421191109322958,0.39143022840009173,0.15587621418653122,0.0627399232245681,0.2671769708910423,0.16421191109322958,0.39143022840009173,0.15587621418653122,0.7649888020901987,0.8880557502366595,1.4794249432723103,0.6582756999996491,0.0
