dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_evaluation_f1
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,81,1,sigma,3.0,range,0.7584905660377358
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,24,1,sigma,3.0,range,0.0419580419580419
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,24,1,sigma,3.0,range,0.5907436297451898
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,24,1,sigma,3.0,range,0.4385964912280702
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,24,1,sigma,3.0,range,0.2247386759581882
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,24,1,sigma,3.0,range,0.3146551724137931
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,24,1,sigma,3.0,range,0.4066390041493776
011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,91,1,sigma,3.0,range,0.2710490769923458
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,91,1,sigma,3.0,range,0.1985011987209116
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,166,1,sigma,3.0,range,0.6644736842105263
