algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
DAMP | Start x2,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,range,0.997114031308952,0.8017618065151271,0.8214285714285714,1.0,0.9019607843137256,0.8214285714285714,1.0,0.9019607843137256,0.9019607843137256,0.9954639455782314,1.0,5.621729500009678
DAMP | x_lag x8,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,range,0.9970480179488632,0.7857295452725324,0.8214285714285714,1.0,0.9019607843137256,0.8214285714285714,1.0,0.9019607843137256,0.9019607843137256,0.9954639455782314,1.0,5.748402000026545
DAMP | Baseline,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,range,0.9971140313089518,0.8017618065151271,0.817258883248731,1.0,0.8994413407821229,0.817258883248731,1.0,0.899441340782123,0.899441340782123,0.9953732656514382,1.0,5.545798499981174
DAMP | Baseline,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.99724436537887,0.8015892465077121,0.8131313131313131,1.0,0.8969359331476323,0.8131313131313131,1.0,0.8969359331476323,0.8969359331476323,0.9952444444444444,1.0,4.6390793999889866
DAMP | Start x2,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.99724436537887,0.8015892465077121,0.8090452261306532,1.0,0.8944444444444445,0.8090452261306532,1.0,0.8944444444444445,0.8944444444444445,0.9951544388609714,1.0,4.55513309998787
DAMP | x_lag x8,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9969583074851532,0.7833819513993641,0.8090452261306532,1.0,0.8944444444444445,0.8090452261306532,1.0,0.8944444444444445,0.8944444444444445,0.9951155778894474,1.0,4.601974000019254
DAMP | Baseline,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085,range,0.99065140474132,0.7184508291547247,1.0,0.5816326530612245,0.7354838709677419,1.0,0.6653061224489796,0.7990196078431372,0.7990196078431372,1.0,0.9987530745490362,5.70028259998071
DAMP | x_lag x8,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085,range,0.9906105375578498,0.7158423777995095,1.0,0.5714285714285714,0.7272727272727273,1.0,0.6571428571428571,0.7931034482758621,0.7931034482758621,1.0,0.9987449717843728,5.685987900011241
DAMP | Start x2,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085,range,0.9906514047413196,0.7184508291547247,1.0,0.5204081632653061,0.6845637583892618,1.0,0.616326530612245,0.7626262626262627,0.7626262626262627,1.0,0.998677448745512,6.128412999998545
DAMP | x_lag x8,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.9993631081290124,0.9163700169584548,0.5894736842105263,1.0,0.7417218543046358,0.5894736842105263,1.0,0.7417218543046357,0.7417218543046357,0.9917333333333334,1.0,4.358292900025845
DAMP | Baseline,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.9993896956454482,0.9243376595873224,0.5803108808290155,1.0,0.7344262295081967,0.5803108808290155,1.0,0.7344262295081967,0.7344262295081967,0.9914576856649396,1.0,4.5040752000059
DAMP | Start x2,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.9993896956454482,0.9243376595873224,0.56,1.0,0.717948717948718,0.56,1.0,0.717948717948718,0.717948717948718,0.9908266666666666,1.0,4.480154199991375
