algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
HBOS | Baseline,Baseline,distorted,38,0.5826329956991372,0.07429539278711138,0.08561032479324378,0.08561032479324378,0.3833692131585466
HBOS | Tol 0.2,Tol 0.2,distorted,38,0.5826329956991372,0.07429539278711138,0.08561032479324378,0.08561032479324378,0.3804248289479322
HBOS | Alpha 0.05,Alpha 0.05,distorted,38,0.5827622317778562,0.07566356787725667,0.08525499030550207,0.08525499030550207,0.38130767894893464
HBOS | Bins 20,Bins 20,distorted,38,0.5794990389952226,0.06633147635898132,0.07589488762272228,0.07589488762272228,0.3827238342101305
HBOS | Bins 20,Bins 20,noise,8,0.7242681600483407,0.11300471899468455,0.13660570771530794,0.13660570771530794,0.39127773750078626
HBOS | Alpha 0.05,Alpha 0.05,noise,8,0.7457245234131218,0.11824661828613703,0.13586233112628185,0.13586233112628185,0.39497348749500816
HBOS | Baseline,Baseline,noise,8,0.738876699036237,0.11267425033137177,0.13281489768328492,0.13281489768328492,0.39048085000467836
HBOS | Tol 0.2,Tol 0.2,noise,8,0.738876699036237,0.11267425033137177,0.13281489768328492,0.13281489768328492,0.38600684999255463
HBOS | Bins 20,Bins 20,raw,44,0.5778137220209815,0.09921896715797715,0.11432044035563838,0.11432044035563838,0.4920740136321084
HBOS | Baseline,Baseline,raw,44,0.5824049675776133,0.07916232243462706,0.0966821138729418,0.0966821138729418,0.49621898409201426
HBOS | Tol 0.2,Tol 0.2,raw,44,0.5824049675776133,0.07916232243462706,0.0966821138729418,0.0966821138729418,0.4936355522705443
HBOS | Alpha 0.05,Alpha 0.05,raw,44,0.5779641451074663,0.0766296954182292,0.09478396914621397,0.09478396914621397,0.4890357727278817
