algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
HBOS | Alpha 0.05,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.8968288979625336,0.7769348657407065,0.8129496402877698,0.7243589743589743,0.7661016949152543,0.8129496402877698,0.7794871794871796,0.7958668303871372,0.7958668303871372,0.995552238637624,0.9984514549121288,0.4254009000142105
HBOS | Baseline,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.8959201086101594,0.7730887835550247,0.8102189781021898,0.7115384615384616,0.757679180887372,0.8102189781021898,0.7692307692307694,0.7891930323498045,0.7891930323498045,0.9954873078148156,0.9983040541898656,0.4304290000000037
HBOS | Tol 0.2,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.8959201086101594,0.7730887835550247,0.8102189781021898,0.7115384615384616,0.757679180887372,0.8102189781021898,0.7692307692307694,0.7891930323498045,0.7891930323498045,0.9954873078148156,0.9983040541898656,0.4141858999792021
HBOS | Bins 20,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9506346991676412,0.7802131585044045,1.0,0.5512820512820513,0.7107438016528925,1.0,0.6410256410256411,0.7812500000000001,0.7812500000000001,1.0,0.9963384320583172,0.4188609000120777
HBOS | Bins 20,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.900733357955284,0.7474093094424492,0.8,0.6923076923076923,0.7422680412371134,0.8,0.7538461538461538,0.7762376237623763,0.7762376237623763,0.9952181865691142,0.9980703905449138,0.4157540000160225
HBOS | Alpha 0.05,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9031194643357886,0.725965452960979,0.8076923076923077,0.6730769230769231,0.7342657342657343,0.8076923076923077,0.7384615384615385,0.7715269804822045,0.7715269804822045,0.9954523527165284,0.997821651826094,0.4137178999953903
HBOS | Baseline,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9012437504702108,0.718335173368747,0.8,0.6666666666666666,0.7272727272727273,0.8,0.7333333333333334,0.765217391304348,0.765217391304348,0.995244316697152,0.9977353889034056,0.4225083999917842
HBOS | Tol 0.2,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9012437504702108,0.718335173368747,0.8,0.6666666666666666,0.7272727272727273,0.8,0.7333333333333334,0.765217391304348,0.765217391304348,0.995244316697152,0.9977353889034056,0.4310348999861162
HBOS | Alpha 0.05,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9095690474724882,0.7589849358586888,0.925531914893617,0.5576923076923077,0.696,0.925531914893617,0.6461538461538462,0.7610121836925959,0.7610121836925959,0.9984141236121844,0.9960126429619504,0.4104068999877199
HBOS | Baseline,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9102581201140816,0.7562582087807488,0.942528735632184,0.5256410256410257,0.6748971193415638,0.942528735632184,0.6205128205128205,0.7483501150205528,0.7483501150205528,0.9987911061453856,0.9954138275277548,0.4168425999814644
HBOS | Tol 0.2,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9102581201140816,0.7562582087807488,0.942528735632184,0.5256410256410257,0.6748971193415638,0.942528735632184,0.6205128205128205,0.7483501150205528,0.7483501150205528,0.9987911061453856,0.9954138275277548,0.416683399991598
HBOS | Bins 20,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.8793438934143122,0.6729485548511134,0.7559055118110236,0.6153846153846154,0.6784452296819788,0.7559055118110236,0.6923076923076923,0.7227101631116688,0.7227101631116688,0.9940363640852706,0.9969849852264276,0.4265359000128228
