algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Isolation Forest | Max feat 0.6,Max feat 0.6,sparse,64,0.7534664394640729,0.0947258328343616,0.0841580718774852,0.0841580718774852,1.9329699328131937
Isolation Forest | Seed 7,Seed 7,sparse,64,0.7642489974750352,0.0917756057469121,0.08338277204675162,0.08338277204675162,0.5070987484346006
Isolation Forest | Trees 400,Trees 400,sparse,64,0.7510413928509206,0.09029398189785402,0.08249692618550826,0.08249692618550826,0.9865963140587155
Isolation Forest | Bootstrap on,Bootstrap on,sparse,64,0.7497192027476519,0.09318745815587648,0.07771632595466198,0.07771632595466198,0.46612125312503844
Isolation Forest | Baseline,Baseline,sparse,64,0.7440460719565801,0.09016538457194956,0.07514564850107901,0.07514564850107901,0.5017372109391545
Isolation Forest | Max samples auto,Max samples auto,sparse,64,0.7440460719565801,0.09016538457194956,0.07514564850107901,0.07514564850107901,0.5083749031255138
Isolation Forest | Trees 400,Trees 400,moderate,27,0.6467829329486899,0.3650869132118419,0.3205710258001133,0.3205710258001133,0.8886068740760459
Isolation Forest | Seed 7,Seed 7,moderate,27,0.6574401016451162,0.35598886664736173,0.31338126268774186,0.31338126268774186,0.45744420000119135
Isolation Forest | Max feat 0.6,Max feat 0.6,moderate,27,0.6412877552635822,0.3517072745182466,0.31106902145529197,0.31106902145529197,1.880633222223777
Isolation Forest | Baseline,Baseline,moderate,27,0.6465015714769144,0.3562158829011955,0.3050059412984614,0.3050059412984614,0.5123301222198212
Isolation Forest | Max samples auto,Max samples auto,moderate,27,0.6465015714769144,0.3562158829011955,0.3050059412984614,0.3050059412984614,0.46524000370603363
Isolation Forest | Bootstrap on,Bootstrap on,moderate,27,0.6452274713677203,0.3537813762231642,0.2946680624749905,0.2946680624749905,0.43936338518741885
