algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Isolation Forest | Seed 7,Seed 7,distorted,38,0.7180604001222894,0.13934136035399183,0.1371702914811785,0.1371702914811785,0.4418735289456029
Isolation Forest | Max feat 0.6,Max feat 0.6,distorted,38,0.7065459744662247,0.15103419893961387,0.13590294159098337,0.13590294159098337,1.2784112184201244
Isolation Forest | Bootstrap on,Bootstrap on,distorted,38,0.7085841296183335,0.1487860872833418,0.1251998034323002,0.1251998034323002,0.408233331579188
Isolation Forest | Trees 400,Trees 400,distorted,38,0.706568738825032,0.14301965827010965,0.12511993567048596,0.12511993567048596,0.8592014999969826
Isolation Forest | Baseline,Baseline,distorted,38,0.6972591780760657,0.14136344027942413,0.11912644308651026,0.11912644308651026,0.48133854999813547
Isolation Forest | Max samples auto,Max samples auto,distorted,38,0.6972591780760657,0.14136344027942413,0.11912644308651026,0.11912644308651026,0.4401506631616748
Isolation Forest | Seed 7,Seed 7,noise,8,0.8272228300963416,0.19803214581198425,0.19200956317233464,0.19200956317233464,0.49681761250394624
Isolation Forest | Max feat 0.6,Max feat 0.6,noise,8,0.8254065585560654,0.20363688898037077,0.18247261110187046,0.18247261110187046,1.3389460624966887
Isolation Forest | Trees 400,Trees 400,noise,8,0.8353346896133218,0.21304516047611455,0.17547234167340242,0.17547234167340242,0.9676639749995957
Isolation Forest | Baseline,Baseline,noise,8,0.8274925593175859,0.1958258730688812,0.1561552231018464,0.1561552231018464,0.4878608500075643
Isolation Forest | Max samples auto,Max samples auto,noise,8,0.8274925593175859,0.1958258730688812,0.1561552231018464,0.1561552231018464,0.4846029500040458
Isolation Forest | Bootstrap on,Bootstrap on,noise,8,0.8092293512493105,0.18043647990414796,0.13627648839748213,0.13627648839748213,0.44681742499960814
Isolation Forest | Trees 400,Trees 400,raw,45,0.7110555275514614,0.18882340444687343,0.1728196596357756,0.1728196596357756,1.0387462422206428
Isolation Forest | Baseline,Baseline,raw,45,0.7101933731925919,0.18777768301706405,0.16152078437834122,0.16152078437834122,0.5277854022233643
Isolation Forest | Max samples auto,Max samples auto,raw,45,0.7101933731925919,0.18777768301706405,0.16152078437834122,0.16152078437834122,0.5443316688871063
Isolation Forest | Max feat 0.6,Max feat 0.6,raw,45,0.7129916004367183,0.18200344537430016,0.15913083355954677,0.15913083355954677,2.5599106200032917
Isolation Forest | Bootstrap on,Bootstrap on,raw,45,0.7111808659397114,0.1870829183111412,0.15737951356257435,0.15737951356257435,0.5023814577790391
Isolation Forest | Seed 7,Seed 7,raw,45,0.7279720163867258,0.19124687349630168,0.15664986493105942,0.15664986493105942,0.5342128511084916
