algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Isolation Forest | Trees 400,Trees 400,medium,84,0.7453334473837049,0.18614477974026652,0.16589548776756655,0.16589548776756655,0.8525326202365077
Isolation Forest | Seed 7,Seed 7,medium,84,0.7582412931913961,0.18434926389620404,0.16425942266144208,0.16425942266144208,0.43853346428416745
Isolation Forest | Max feat 0.6,Max feat 0.6,medium,84,0.7451677083138314,0.18522082992133096,0.16410690689823731,0.16410690689823731,1.2546583000006475
Isolation Forest | Baseline,Baseline,medium,84,0.738887476139947,0.18319539822544106,0.1552914514181847,0.1552914514181847,0.4566384095239863
Isolation Forest | Max samples auto,Max samples auto,medium,84,0.738887476139947,0.18319539822544106,0.1552914514181847,0.1552914514181847,0.43750846547689953
Isolation Forest | Bootstrap on,Bootstrap on,medium,84,0.7428462423160246,0.18471541047620865,0.15392717318956084,0.15392717318956084,0.4056409976197063
Isolation Forest | Baseline,Baseline,long,7,0.42970614847746724,0.0,0.0,0.0,1.0837812000037437
Isolation Forest | Max samples auto,Max samples auto,long,7,0.42970614847746724,0.0,0.0,0.0,1.1923946857194616
Isolation Forest | Bootstrap on,Bootstrap on,long,7,0.4291551926045871,0.0,0.0,0.0,1.0886754000010634
Isolation Forest | Seed 7,Seed 7,long,7,0.4243642792490168,0.0,0.0,0.0,1.1383574714252194
Isolation Forest | Max feat 0.6,Max feat 0.6,long,7,0.4203620027793636,0.0,0.0,0.0,9.870839357147426
Isolation Forest | Trees 400,Trees 400,long,7,0.41739696454890557,0.0,0.0,0.0,2.2174013714206273
