algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
Isolation Forest | Seed 7,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,range,0.9790677906070694,0.8851345690167305,1.0,0.7660818713450293,0.8675496688741722,1.0,0.8128654970760234,0.896774193548387,0.896774193548387,1.0,0.999230633703937,0.4164815999974962
Isolation Forest | Trees 400,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,range,0.9678213029208284,0.8578717041926113,1.0,0.7543859649122807,0.86,1.0,0.8035087719298246,0.8910505836575876,0.8910505836575876,1.0,0.999019827338816,0.8141803999897093
Isolation Forest | Bootstrap on,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,range,0.939513431402643,0.8362191952872657,1.0,0.7485380116959064,0.8561872909698997,1.0,0.7988304093567251,0.8881664499349805,0.8881664499349805,1.0,0.9990082868443748,0.3946993000281509
Isolation Forest | Trees 400,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9220227958224756,0.8226540904482292,0.9754098360655736,0.7628205128205128,0.8561151079136691,0.9754098360655736,0.8102564102564103,0.8851957345636872,0.8851957345636872,0.9994891774150022,0.9988534568819388,0.7954407000215724
Isolation Forest | Baseline,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9214816258694626,0.8310438294014793,0.967741935483871,0.7692307692307693,0.8571428571428571,0.967741935483871,0.8153846153846154,0.8850542721959366,0.8850542721959366,0.999325674115158,0.998914594681514,0.4108667999971658
Isolation Forest | Max samples auto,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9214816258694626,0.8310438294014793,0.967741935483871,0.7692307692307693,0.8571428571428571,0.967741935483871,0.8153846153846154,0.8850542721959366,0.8850542721959366,0.999325674115158,0.998914594681514,0.4001679999928456
Isolation Forest | Baseline,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,range,0.9632177122932948,0.8499375530485193,1.0,0.7134502923976608,0.8327645051194539,1.0,0.7707602339181288,0.8705416116248349,0.8705416116248349,1.0,0.9987959417466614,0.4112661999824922
Isolation Forest | Max samples auto,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,range,0.9632177122932948,0.8499375530485193,1.0,0.7134502923976608,0.8327645051194539,1.0,0.7707602339181288,0.8705416116248349,0.8705416116248349,1.0,0.9987959417466614,0.4243132999981753
Isolation Forest | Seed 7,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,range,0.9064280389300394,0.8116882267318054,0.9302325581395348,0.7692307692307693,0.8421052631578947,0.9302325581395348,0.8153846153846154,0.8690305390448861,0.8690305390448861,0.998495998444346,0.998914594681514,0.4023477000009734
Isolation Forest | Bootstrap on,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9434960433893482,0.8726177927487618,0.8767123287671232,0.8205128205128205,0.847682119205298,0.8767123287671232,0.8564102564102565,0.8664423817437477,0.8664423817437477,0.9971972753077448,0.9993433967826444,0.3954235999844968
Isolation Forest | Baseline,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9542801157231672,0.8848598496444929,0.8657718120805369,0.8269230769230769,0.8459016393442623,0.8657718120805369,0.8615384615384616,0.8636499491900294,0.8636499491900294,0.996913488231797,0.9993894595083516,0.4112270000041462
Isolation Forest | Max samples auto,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9542801157231672,0.8848598496444929,0.8657718120805369,0.8269230769230769,0.8459016393442623,0.8657718120805369,0.8615384615384616,0.8636499491900294,0.8636499491900294,0.996913488231797,0.9993894595083516,0.414595600013854
