algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Local Outlier Factor | Metric manhattan,Metric manhattan,sparse,64,0.9024240515499312,0.19605646164304702,0.1162354647571107,0.1162354647571107,3.6534273109373316
Local Outlier Factor | p = 1,p = 1,sparse,64,0.9024240515499312,0.19605646164304702,0.1162354647571107,0.1162354647571107,3.6659812812495147
Local Outlier Factor | Baseline,Baseline,sparse,64,0.9022256115111384,0.19497924950816323,0.11036082395134356,0.11036082395134356,0.36804310937577606
Local Outlier Factor | Leaf size 60,Leaf size 60,sparse,64,0.9022256115111384,0.19497924950816323,0.11036082395134356,0.11036082395134356,0.34906928906048046
Local Outlier Factor | Search brute,Search brute,sparse,64,0.9022256115111384,0.19497924950816323,0.11036082395134356,0.11036082395134356,0.3503026296866664
Local Outlier Factor | Neighbors 10,Neighbors 10,sparse,64,0.8381939563700574,0.1646086065814131,0.08612898892319498,0.08612898892319498,0.3337693093749294
Local Outlier Factor | Baseline,Baseline,moderate,27,0.6549951492514057,0.26024141619719426,0.27942186401144925,0.27942186401144925,0.29737627777784054
Local Outlier Factor | Leaf size 60,Leaf size 60,moderate,27,0.6549951492514057,0.26024141619719426,0.27942186401144925,0.27942186401144925,0.2419554777745226
Local Outlier Factor | Search brute,Search brute,moderate,27,0.6549951492514057,0.26024141619719426,0.27942186401144925,0.27942186401144925,0.24540678889025
Local Outlier Factor | Metric manhattan,Metric manhattan,moderate,27,0.6698057903947172,0.24935080109429256,0.24493261308733366,0.24493261308733366,2.865880937038498
Local Outlier Factor | p = 1,p = 1,moderate,27,0.6698057903947172,0.24935080109429256,0.24493261308733366,0.24493261308733366,2.926772744442267
Local Outlier Factor | Neighbors 10,Neighbors 10,moderate,27,0.5647118674239829,0.18846852340807368,0.17510012396644445,0.17510012396644445,0.25064262592759734
