algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Local Outlier Factor | Baseline,Baseline,distorted,38,0.8031397785847793,0.18903471018385276,0.14633086508596257,0.14633086508596257,0.2353204157904991
Local Outlier Factor | Leaf size 60,Leaf size 60,distorted,38,0.8031397785847793,0.18903471018385276,0.14633086508596257,0.14633086508596257,0.1595082789441987
Local Outlier Factor | Search brute,Search brute,distorted,38,0.8031397785847793,0.18903471018385276,0.14633086508596257,0.14633086508596257,0.16096369473579164
Local Outlier Factor | Metric manhattan,Metric manhattan,distorted,38,0.8089689353383216,0.17530461017022353,0.14325128786923316,0.14325128786923316,1.6597024447370419
Local Outlier Factor | p = 1,p = 1,distorted,38,0.8089689353383216,0.17530461017022353,0.14325128786923316,0.14325128786923316,1.6596541263149305
Local Outlier Factor | Neighbors 10,Neighbors 10,distorted,38,0.7162250267877572,0.14761571597520115,0.09953396125521341,0.09953396125521341,0.15859785789584024
Local Outlier Factor | Baseline,Baseline,noise,8,0.8835764138203407,0.30167335783126065,0.2155841142479495,0.2155841142479495,0.21771651250310237
Local Outlier Factor | Leaf size 60,Leaf size 60,noise,8,0.8835764138203407,0.30167335783126065,0.2155841142479495,0.2155841142479495,0.21976505000202445
Local Outlier Factor | Search brute,Search brute,noise,8,0.8835764138203407,0.30167335783126065,0.2155841142479495,0.2155841142479495,0.2129461125005036
Local Outlier Factor | Metric manhattan,Metric manhattan,noise,8,0.8860414300213442,0.30332316492692774,0.2024681085730678,0.2024681085730678,1.9618894125087538
Local Outlier Factor | p = 1,p = 1,noise,8,0.8860414300213442,0.30332316492692774,0.2024681085730678,0.2024681085730678,1.9802051499973459
Local Outlier Factor | Neighbors 10,Neighbors 10,noise,8,0.8510616974791346,0.26682840370064403,0.14141360114526877,0.14141360114526877,0.21018415000071397
Local Outlier Factor | Baseline,Baseline,raw,45,0.8408752282159216,0.2201885412491156,0.16271638386544318,0.16271638386544318,0.46444467999972394
Local Outlier Factor | Leaf size 60,Leaf size 60,raw,45,0.8408752282159216,0.2201885412491156,0.16271638386544318,0.16271638386544318,0.46786216444193585
Local Outlier Factor | Search brute,Search brute,raw,45,0.8408752282159216,0.2201885412491156,0.16271638386544318,0.16271638386544318,0.471670273333762
Local Outlier Factor | Metric manhattan,Metric manhattan,raw,45,0.8446832145961332,0.22648721486259984,0.15531014422661538,0.15531014422661538,5.1652072222211345
Local Outlier Factor | p = 1,p = 1,raw,45,0.8446832145961332,0.22648721486259984,0.15531014422661538,0.15531014422661538,5.216381513332534
Local Outlier Factor | Neighbors 10,Neighbors 10,raw,45,0.7748130895636302,0.17510170036812517,0.11836354002929374,0.11836354002929374,0.453786553333177
