algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Local Outlier Factor | Baseline,Baseline,medium,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1797335595245905
Local Outlier Factor | Leaf size 60,Leaf size 60,medium,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1454622988073554
Local Outlier Factor | Search brute,Search brute,medium,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1468120904759243
Local Outlier Factor | Metric manhattan,Metric manhattan,medium,84,0.8300706745743044,0.21328719959625184,0.16164021202746237,0.16164021202746237,1.5639947285720457
Local Outlier Factor | p = 1,p = 1,medium,84,0.8300706745743044,0.21328719959625184,0.16164021202746237,0.16164021202746237,1.573355480951293
Local Outlier Factor | Neighbors 10,Neighbors 10,medium,84,0.7467856392674723,0.17707823627649105,0.11543151916875406,0.11543151916875406,0.14256599166678605
Local Outlier Factor | Neighbors 10,Neighbors 10,long,7,0.8802342756662199,0.10700415800045422,0.07767300400044815,0.07767300400044815,2.3075776285757974
Local Outlier Factor | Baseline,Baseline,long,7,0.9004576252948956,0.13491204400729698,0.07265525919825001,0.07265525919825001,2.355185642855109
Local Outlier Factor | Leaf size 60,Leaf size 60,long,7,0.9004576252948956,0.13491204400729698,0.07265525919825001,0.07265525919825001,2.379199899995001
Local Outlier Factor | Search brute,Search brute,long,7,0.9004576252948956,0.13491204400729698,0.07265525919825001,0.07265525919825001,2.3875908571436804
Local Outlier Factor | Metric manhattan,Metric manhattan,long,7,0.8734227108016271,0.19485148694510798,0.0677817839294651,0.0677817839294651,25.68893942856812
Local Outlier Factor | p = 1,p = 1,long,7,0.8734227108016271,0.19485148694510798,0.0677817839294651,0.0677817839294651,25.926257957143076
