algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
Local Outlier Factor | Baseline,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,range,0.9990615455491664,0.9337501554225854,0.8319327731092437,0.9611650485436892,0.8918918918918919,0.8319327731092437,0.9689320388349516,0.8952213544026242,0.8952213544026242,0.9972436974789916,0.99997928802589,0.1256233000021893
Local Outlier Factor | Leaf size 60,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,range,0.9990615455491664,0.9337501554225854,0.8319327731092437,0.9611650485436892,0.8918918918918919,0.8319327731092437,0.9689320388349516,0.8952213544026242,0.8952213544026242,0.9972436974789916,0.99997928802589,0.1258101999992504
Local Outlier Factor | Search brute,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,range,0.9990615455491664,0.9337501554225854,0.8319327731092437,0.9611650485436892,0.8918918918918919,0.8319327731092437,0.9689320388349516,0.8952213544026242,0.8952213544026242,0.9972436974789916,0.99997928802589,0.1227499000087846
Local Outlier Factor | Baseline,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.9985872360584732,0.911451224347788,0.7571428571428571,0.9464285714285714,0.8412698412698413,0.7571428571428571,0.9571428571428572,0.8454761904761904,0.8454761904761904,0.9952723809523808,0.9999571428571428,0.1220567999989725
Local Outlier Factor | Leaf size 60,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.9985872360584732,0.911451224347788,0.7571428571428571,0.9464285714285714,0.8412698412698413,0.7571428571428571,0.9571428571428572,0.8454761904761904,0.8454761904761904,0.9952723809523808,0.9999571428571428,0.1219113999977707
Local Outlier Factor | Search brute,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.9985872360584732,0.911451224347788,0.7571428571428571,0.9464285714285714,0.8412698412698413,0.7571428571428571,0.9571428571428572,0.8454761904761904,0.8454761904761904,0.9952723809523808,0.9999571428571428,0.1354130000108853
Local Outlier Factor | Metric manhattan,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.998532852502127,0.904013769519324,0.7611940298507462,0.9107142857142856,0.8292682926829268,0.7611940298507462,0.9285714285714286,0.8365930599369085,0.8365930599369085,0.9954149253731344,0.9998809523809524,1.5987263999995776
Local Outlier Factor | p = 1,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.998532852502127,0.904013769519324,0.7611940298507462,0.9107142857142856,0.8292682926829268,0.7611940298507462,0.9285714285714286,0.8365930599369085,0.8365930599369085,0.9954149253731344,0.9998809523809524,1.670372699998552
Local Outlier Factor | Neighbors 10,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,range,0.9983455313636012,0.8896957163741184,0.7734375,0.8839285714285714,0.825,0.7734375,0.9071428571428573,0.8349714437508301,0.8349714437508301,0.995740625,0.9997988095238096,0.1180660999962128
Local Outlier Factor | Neighbors 10,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,range,0.9982333430897596,0.8762092450019386,0.6688311688311688,1.0,0.8015564202334631,0.6688311688311688,1.0,0.801556420233463,0.801556420233463,0.99328658008658,1.0,0.1156209000037051
Local Outlier Factor | Metric manhattan,028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309,range,0.9999879147652564,0.9992136359096346,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.8,0.9937523809523808,1.0,1.6023115999996662
Local Outlier Factor | p = 1,028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309,range,0.9999879147652564,0.9992136359096346,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.8,0.9937523809523808,1.0,1.6353315000014843
