algorithm_display,ablation_parameter,ablation_role,variant,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
OCSVM | Gamma 0.1,gamma,score_driver,distorted,38,0.024549519512863372,-0.032797505277158134,1.2044581943824753
OCSVM | Train frac 0.20,train_fraction,score_driver,distorted,38,0.017065848856338717,-0.004810784275298977,1.5521523766489869
OCSVM | Nu 0.10,nu,score_driver,distorted,38,-0.006181920265444241,-0.0026163814621969973,1.3954002292118166
OCSVM | Kernel linear,kernel,score_driver,distorted,38,-0.11061509147603792,-0.3284139918906536,0.2671736626973119
OCSVM | Gamma 0.1,gamma,score_driver,noise,8,0.01532566134589089,-0.0470621293115752,1.0770487118719771
OCSVM | Train frac 0.20,train_fraction,score_driver,noise,8,0.011982462109956384,-0.05219570585525219,1.4847006343071627
OCSVM | Nu 0.10,nu,score_driver,noise,8,0.008451203015459562,0.0003900878903266361,1.3549764765971726
OCSVM | Kernel linear,kernel,score_driver,noise,8,-0.13738449468698982,-0.3922933456313153,0.23823840585887307
OCSVM | Gamma 0.1,gamma,score_driver,raw,44,0.05190748898662237,-0.018876185831834393,1.0836757177463692
OCSVM | Train frac 0.20,train_fraction,score_driver,raw,44,-0.001495928765372121,-0.004208918181135715,1.5767278240640685
OCSVM | Nu 0.10,nu,score_driver,raw,44,-0.01007747898281678,-0.0006601489975866338,1.412180524268131
OCSVM | Kernel linear,kernel,score_driver,raw,44,-0.12949036618041,-0.3705775317808012,0.2893012412397837
