algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
OCSVM | Gamma 0.1,Gamma 0.1,distorted,38,0.6923183354911115,0.2308000732631446,0.21068925402047078,0.21068925402047078,0.1409414578956784
OCSVM | Train frac 0.20,Train frac 0.20,distorted,38,0.7203050564929706,0.22089764390305797,0.20320558336394612,0.20320558336394612,0.1645374026296562
OCSVM | Baseline,Baseline,distorted,38,0.7251158407682695,0.20744793227894925,0.1861397345076074,0.1861397345076074,0.10715901052524135
OCSVM | Nu 0.10,Nu 0.10,distorted,38,0.7224994593060726,0.202315632084438,0.17995781424216317,0.17995781424216317,0.14844275000091564
OCSVM | Kernel linear,Kernel linear,distorted,38,0.39670184887761595,0.04228491914947192,0.07552464303156951,0.07552464303156951,0.028118815786958823
OCSVM | Gamma 0.1,Gamma 0.1,noise,8,0.7024619244744243,0.2714151430664197,0.2428530150401338,0.2428530150401338,0.18435528750342198
OCSVM | Train frac 0.20,Train frac 0.20,noise,8,0.6973283479307474,0.2668351850566206,0.23950981580419928,0.23950981580419928,0.24104457499925044
OCSVM | Nu 0.10,Nu 0.10,noise,8,0.7499141416763262,0.2636317578814208,0.23597855670970247,0.23597855670970247,0.21793131249432915
OCSVM | Baseline,Baseline,noise,8,0.7495240537859996,0.2620344742311186,0.2275273536942429,0.2275273536942429,0.16199847501047765
OCSVM | Kernel linear,Kernel linear,noise,8,0.35723070815468433,0.075145410321489,0.09014285900725308,0.09014285900725308,0.03696176250377897
OCSVM | Gamma 0.1,Gamma 0.1,raw,44,0.7491176442615644,0.29616623715509444,0.26618742472978757,0.26618742472978757,0.21988522727240867
OCSVM | Baseline,Baseline,raw,44,0.7679938300933989,0.23791119278509082,0.21427993574316517,0.21427993574316517,0.1838999795449622
OCSVM | Train frac 0.20,Train frac 0.20,raw,44,0.7637849119122632,0.23764999068551518,0.2127840069777931,0.2127840069777931,0.30061992045640096
OCSVM | Nu 0.10,Nu 0.10,raw,44,0.7673336810958122,0.23580706074430388,0.2042024567603484,0.2042024567603484,0.2573419431858135
OCSVM | Kernel linear,Kernel linear,raw,44,0.39741629831259756,0.0654848759237692,0.08478956956275521,0.08478956956275521,0.05761542045233491
