algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
OCSVM | Gamma 0.1,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.996144989035858,0.695845226819458,0.8253968253968254,0.968944099378882,0.8914285714285715,0.8253968253968254,0.9751552795031058,0.8940480753435909,0.8940480753435909,0.995483597883598,0.9999792960662526,0.1133284000097774
OCSVM | Gamma 0.1,152_UCR_Anomaly_PowerDemand1_9000_18485_18821,range,0.7242799637186863,0.6835448561546456,1.0,0.6795252225519288,0.8091872791519434,1.0,0.743620178041543,0.8529611980939414,0.8529611980939414,1.0,0.9994216172964384,1.7263418000075037
OCSVM | Train frac 0.20,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,range,0.8455693116465006,0.7228271792182883,1.0,0.6432748538011696,0.7829181494661922,1.0,0.7146198830409356,0.8335607094133697,0.8335607094133697,1.0,0.997339831935424,0.1398887999821454
OCSVM | Baseline,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,range,0.837808099302185,0.7196425016480987,1.0,0.6432748538011696,0.7829181494661922,1.0,0.7146198830409356,0.8335607094133697,0.8335607094133697,1.0,0.997339831935424,0.0977879999845754
OCSVM | Nu 0.10,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,range,0.8367642832463082,0.7195950036443741,1.0,0.6432748538011696,0.7829181494661922,1.0,0.7146198830409356,0.8335607094133697,0.8335607094133697,1.0,0.997339831935424,0.1307007000141311
OCSVM | Train frac 0.20,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,range,0.7820652542454977,0.6928556150395293,1.0,0.5730994152046783,0.7286245353159851,1.0,0.6584795321637427,0.7940761636107193,0.7940761636107193,1.0,0.9971000776835324,0.1469397000037133
OCSVM | Gamma 0.1,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,range,0.8304484591643134,0.6595678754089418,1.0,0.5376044568245125,0.6992753623188406,1.0,0.63008356545961,0.7730690362269309,0.7730690362269309,1.0,0.989640972529515,0.107482199993683
OCSVM | Gamma 0.1,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,range,0.8710904960393829,0.7400852603995861,0.9897959183673468,0.5403899721448467,0.6990990990990991,0.9897959183673468,0.6323119777158774,0.7716623736179012,0.7716623736179012,0.9994968346579172,0.9896413530124164,0.1040153999929316
OCSVM | Nu 0.10,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,range,0.8247245892745256,0.7149593465290578,1.0,0.532033426183844,0.6945454545454546,1.0,0.6256267409470753,0.7697052775873887,0.7697052775873887,1.0,0.9895138912404844,0.1032498000131454
OCSVM | Baseline,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,range,0.8244817269074698,0.714440660959394,1.0,0.532033426183844,0.6945454545454546,1.0,0.6256267409470753,0.7697052775873887,0.7697052775873887,1.0,0.9895138912404844,0.0776323000027332
OCSVM | Train frac 0.20,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,range,0.8310070025982672,0.7175035330788668,1.0,0.5292479108635098,0.692167577413479,1.0,0.6233983286908078,0.7680164722031572,0.7680164722031572,1.0,0.989511988825978,0.1126154000230599
OCSVM | Baseline,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,range,0.7672678343798688,0.6197559973972685,1.0,0.5236768802228412,0.6873857404021938,1.0,0.618941504178273,0.7646249139710943,0.7646249139710943,1.0,0.98938262463954,0.0860683999781031
