algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
PCA | Weighted off,Weighted off,sparse,63,0.6235697556600714,0.06626188626305497,0.07119262697945593,0.07119262697945593,0.1014469920626161
PCA | Standardize off,Standardize off,sparse,63,0.6216168713385638,0.06609239177589,0.06895030306750431,0.06895030306750431,0.09143879365440202
PCA | Baseline,Baseline,sparse,63,0.6231144166038393,0.06598273335299615,0.06888124037331435,0.06888124037331435,0.10415173174641534
PCA | Whiten on,Whiten on,sparse,63,0.6231144166038393,0.06598273335299615,0.06888124037331435,0.06888124037331435,0.1052115190504414
PCA | Score comps 2,Score comps 2,sparse,63,0.6230953883304406,0.06598990273685931,0.06850608126565709,0.06850608126565709,0.02512569206587536
PCA | Components 0.95,Components 0.95,sparse,63,0.6168747286585375,0.0647079863512427,0.06732540118985975,0.06732540118985975,0.0290466492061525
PCA | Baseline,Baseline,moderate,27,0.44789966165105005,0.14067258668460714,0.17639055723344765,0.17639055723344765,0.15057386296447708
PCA | Whiten on,Whiten on,moderate,27,0.44789966165105005,0.14067258668460714,0.17639055723344765,0.17639055723344765,0.13782455555823006
PCA | Score comps 2,Score comps 2,moderate,27,0.44789449448250035,0.14067258668460714,0.17639055723344765,0.17639055723344765,0.032407270366093095
PCA | Components 0.95,Components 0.95,moderate,27,0.44765658439346273,0.14099188122165426,0.17638957231027558,0.17638957231027558,0.03711610740908692
PCA | Standardize off,Standardize off,moderate,27,0.4482863028183272,0.14091491206779205,0.1763661491524913,0.1763661491524913,0.13158464814855333
PCA | Weighted off,Weighted off,moderate,27,0.44794159143334544,0.14049831051720818,0.17626223061258373,0.17626223061258373,0.1531343703725185
