algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
PCA | Standardize off,Standardize off,distorted,38,0.5481420563475566,0.06186112456825625,0.07606574644033291,0.07606574644033291,0.09148273158107732
PCA | Baseline,Baseline,distorted,38,0.5486396074852443,0.061719167293718236,0.07599109261075135,0.07599109261075135,0.10805353157813534
PCA | Whiten on,Whiten on,distorted,38,0.5486396074852443,0.061719167293718236,0.07599109261075135,0.07599109261075135,0.10441167105531537
PCA | Weighted off,Weighted off,distorted,38,0.5494140902409191,0.06161906884640651,0.07587241181400965,0.07587241181400965,0.10503272368499124
PCA | Score comps 2,Score comps 2,distorted,38,0.5486668180369729,0.06173105337749135,0.07536911830068799,0.07536911830068799,0.023525118418834368
PCA | Components 0.95,Components 0.95,distorted,38,0.5462317943789478,0.060006749951495096,0.07370863859358762,0.07370863859358762,0.025174334212543246
PCA | Standardize off,Standardize off,noise,8,0.8061810002972917,0.24052703724711663,0.25842793297200606,0.25842793297200606,0.08396577500025154
PCA | Baseline,Baseline,noise,8,0.8069265056070547,0.24033777422088315,0.25823866994577255,0.25823866994577255,0.09492406249410118
PCA | Whiten on,Whiten on,noise,8,0.8069265056070547,0.24033777422088315,0.25823866994577255,0.25823866994577255,0.09733687500192895
PCA | Score comps 2,Score comps 2,noise,8,0.8069044886767561,0.24033777422088315,0.25823866994577255,0.25823866994577255,0.0238491624986636
PCA | Weighted off,Weighted off,noise,8,0.805901187559089,0.24033777422088315,0.25823866994577255,0.25823866994577255,0.09329133749270109
PCA | Components 0.95,Components 0.95,noise,8,0.8013209167564695,0.24000419558526231,0.24358743956041468,0.24358743956041468,0.025480274995061288
PCA | Weighted off,Weighted off,raw,44,0.5466902874012998,0.08417560019560388,0.09761715267606676,0.09761715267606676,0.1315503250007168
PCA | Components 0.95,Components 0.95,raw,44,0.5405104582649906,0.08370667886986462,0.09669070327952177,0.09669070327952177,0.03799106590899592
PCA | Baseline,Baseline,raw,44,0.5464950450301024,0.08379639751806346,0.09428391613743542,0.09428391613743542,0.13094606136688852
PCA | Whiten on,Whiten on,raw,44,0.5464950450301024,0.08379639751806346,0.09428391613743542,0.09428391613743542,0.1273465954575592
PCA | Score comps 2,Score comps 2,raw,44,0.5464451322960512,0.08379639751806346,0.09428391613743542,0.09428391613743542,0.031208343184764696
PCA | Standardize off,Standardize off,raw,44,0.5451533392463379,0.08394509718501784,0.09426893845139404,0.09426893845139404,0.11739453409443902
