algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
PCA | Weighted off,Weighted off,medium,84,0.5855631019228517,0.09485658593496529,0.11005018721720813,0.11005018721720813,0.10092258690461413
PCA | Standardize off,Standardize off,medium,84,0.5842158334021674,0.09486337271085066,0.10840184667107187,0.10840184667107187,0.0914949083359845
PCA | Baseline,Baseline,medium,84,0.5852175656675151,0.09470323859194227,0.10835789510502251,0.10835789510502251,0.10320692142912383
PCA | Whiten on,Whiten on,medium,84,0.5852175656675151,0.09470323859194227,0.10835789510502251,0.10835789510502251,0.10140108452712104
PCA | Score comps 2,Score comps 2,medium,84,0.58520077046852,0.09470861562983963,0.10807652577427956,0.10807652577427956,0.023428492856813386
PCA | Components 0.95,Components 0.95,medium,84,0.5803990533147078,0.09384980872753518,0.10719069913498339,0.10719069913498339,0.02499677857156794
PCA | Components 0.95,Components 0.95,long,6,0.36605253427931833,0.0,0.0,0.0,0.1220574000035412
PCA | Weighted off,Weighted off,long,6,0.36533616896088134,0.0,0.0,0.0,0.3413818666692047
PCA | Standardize off,Standardize off,long,6,0.3652438441070478,0.0,0.0,0.0,0.27130953333592817
PCA | Score comps 2,Score comps 2,long,6,0.3652160160815984,0.0,0.0,0.0,0.08165358334372282
PCA | Baseline,Baseline,long,6,0.3652039324248262,0.0,0.0,0.0,0.32627866666977445
PCA | Whiten on,Whiten on,long,6,0.3652039324248262,0.0,0.0,0.0,0.30531626666197553
