algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
PCA | Weighted off,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.9644306857897148,0.8955769886283915,1.0,0.6666666666666666,0.8,1.0,0.7333333333333334,0.8461538461538461,0.8461538461538461,1.0,0.9988073941562314,0.0966112999885808
PCA | Score comps 2,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.9644135872130004,0.8956562772248311,1.0,0.6666666666666666,0.8,1.0,0.7333333333333334,0.8461538461538461,0.8461538461538461,1.0,0.9988073941562314,0.0280096000060439
PCA | Standardize off,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.9644135872130004,0.8958256003654549,1.0,0.6666666666666666,0.8,1.0,0.7333333333333334,0.8461538461538461,0.8461538461538461,1.0,0.9988073941562314,0.0916835999814793
PCA | Baseline,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.9644101674976576,0.895701993756963,1.0,0.6666666666666666,0.8,1.0,0.7333333333333334,0.8461538461538461,0.8461538461538461,1.0,0.9988073941562314,0.0976202999881934
PCA | Whiten on,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.9644101674976576,0.895701993756963,1.0,0.6666666666666666,0.8,1.0,0.7333333333333334,0.8461538461538461,0.8461538461538461,1.0,0.9988073941562314,0.0967743000073824
PCA | Components 0.95,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,range,0.9671100327608728,0.8978088130636348,1.0,0.6602564102564102,0.7953667953667953,1.0,0.7282051282051283,0.8427299703264095,0.8427299703264095,1.0,0.9987730564879768,0.0297370000043883
PCA | Score comps 2,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9618188781965789,0.895000770230551,1.0,0.6538461538461539,0.7906976744186046,1.0,0.7230769230769232,0.8392857142857143,0.8392857142857143,1.0,0.9987370438115148,0.025226699974155
PCA | Baseline,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9618171683389076,0.8950039940049831,1.0,0.6538461538461539,0.7906976744186046,1.0,0.7230769230769232,0.8392857142857143,0.8392857142857143,1.0,0.9987370438115148,0.0982088000164367
PCA | Whiten on,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9618171683389076,0.8950039940049831,1.0,0.6538461538461539,0.7906976744186046,1.0,0.7230769230769232,0.8392857142857143,0.8392857142857143,1.0,0.9987370438115148,0.0974017999833449
PCA | Components 0.95,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9644247012878648,0.8966806521419588,1.0,0.6474358974358975,0.7859922178988327,1.0,0.7179487179487181,0.8358208955223881,0.8358208955223881,1.0,0.9986993561268452,0.0283561999967787
PCA | Weighted off,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9618599147806938,0.8948265785524583,1.0,0.6474358974358975,0.7859922178988327,1.0,0.7179487179487181,0.8358208955223881,0.8358208955223881,1.0,0.9986826060447695,0.0968551999831106
PCA | Standardize off,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,range,0.9617111571632778,0.89486146835616,1.0,0.6474358974358975,0.7859922178988327,1.0,0.7179487179487181,0.8358208955223881,0.8358208955223881,1.0,0.9986826060447695,0.0929351999948266
