dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,5.48218259998248,0.1916556249375652,0.1232031294220433,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.6919306606148811,0.1191910531896373,0.1420118343195266,0.1194029850746268,0.1297297297297297,0.1840796019900497,0.5612650132036952,24.0,10654.0,145.0,177.0,0.375,0.2318407960199005,0.2865341258454602,1.0,0.0398009950248756,0.8670823023130716,0.9947849389416552,81,0.375,0.2318407960199005,0.2865341258454602,,,,,,,,,,,,1.0,,,,,,,,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,5.989691300026607,0.180195720659878,0.1220232769625238,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.7049524117536219,0.1229520458664766,0.1576086956521739,0.1442786069651741,0.1506493506493506,0.1840796019900497,0.5462655515474495,29.0,10644.0,155.0,172.0,0.3333333333333333,0.2384742951907131,0.2780355761794277,1.0,0.0480928689883913,0.8464258893280633,0.994913839891452,81,0.3333333333333333,0.2384742951907131,0.2780355761794277,,,,,,,,,,,,2.0,,,,,,,,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,5.639892199978931,0.1920959596710194,0.1231921557148148,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.7071992569792946,0.1265131159663308,0.1428571428571428,0.1194029850746268,0.1300813008130081,0.1840796019900497,0.561672426815464,24.0,10655.0,144.0,177.0,0.375,0.2318407960199005,0.2865341258454602,1.0,0.0398009950248756,0.8703950216450216,0.9947849389416552,81,0.375,0.2318407960199005,0.2865341258454602,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,4.006558099994436,0.2752547522469698,0.1488129767103795,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.9481178196040088,0.0067505720823798,0.0073529411764705,0.5,0.0144927536231884,0.0,0.7216936823781084,1.0,8047.0,135.0,1.0,0.0217391304347826,0.6000000000000001,0.0419580419580419,1.0,0.5,0.5601110128802254,0.9999389051808408,24,0.0217391304347826,0.6000000000000001,0.0419580419580419,,,,,,,,,,,,1.0,,,,,,,,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,4.127611500007333,0.2729674254580965,0.1494734082741688,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9481178196040088,0.0067505720823798,0.0073529411764705,0.5,0.0144927536231884,0.0,0.7213876502806031,1.0,8047.0,135.0,1.0,0.0217391304347826,0.6000000000000001,0.0419580419580419,1.0,0.5,0.5601110128802254,0.9999389051808408,24,0.0217391304347826,0.6000000000000001,0.0419580419580419,,,,,,,,,,,,2.0,,,,,,,,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,3.9495803999889176,0.2706357526596109,0.1464550893594188,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9489733561476412,0.006556042228212,0.0071942446043165,0.5,0.0141843971631205,0.0,0.7100010207378675,1.0,8044.0,138.0,1.0,0.0217391304347826,0.6000000000000001,0.0419580419580419,1.0,0.5,0.5582870946644445,0.9999389051808408,24,0.0217391304347826,0.6000000000000001,0.0419580419580419,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,6,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,24,1,8184,25,4000,5703,5727,zscore,sigma,3.0,range,datasets\normalized\zscore,4.0555325000023,0.2784539420717404,0.1469833087194539,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.9732320137271724,0.152210204611284,0.15625,0.6,0.2479338842975206,0.0,0.7194038682301023,15.0,8078.0,81.0,10.0,0.0416666666666666,0.6799999999999999,0.0785219399538106,1.0,0.6,0.5665602598566308,0.9997458455522972,24,0.0416666666666666,0.6799999999999999,0.0785219399538106,,,,,,,,,,,,1.0,,,,,,,,,,,,
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,6,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,24,1,8184,25,4000,5703,5727,zscore,sigma,3.0,range,datasets\normalized\zscore,4.144101999991108,0.2773176401253688,0.1477613625133434,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9732320137271724,0.152210204611284,0.15625,0.6,0.2479338842975206,0.0,0.7206017276653991,15.0,8078.0,81.0,10.0,0.0416666666666666,0.6799999999999999,0.0785219399538106,1.0,0.6,0.5665602598566308,0.9997458455522972,24,0.0416666666666666,0.6799999999999999,0.0785219399538106,,,,,,,,,,,,2.0,,,,,,,,,,,,
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,6,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,24,1,8184,25,4000,5703,5727,zscore,sigma,3.0,range,datasets\normalized\zscore,4.090995400008978,0.2794144105628919,0.1480614735599047,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9624414756710382,0.1395246893631931,0.1485148514851485,0.6,0.238095238095238,0.0,0.7235988312426063,15.0,8073.0,86.0,10.0,0.04,0.6799999999999999,0.0755555555555555,1.0,0.6,0.553760416364217,0.9997458455522972,24,0.04,0.6799999999999999,0.0755555555555555,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,7,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,24,1,8184,25,4000,6520,6544,zscore,sigma,3.0,range,datasets\normalized\zscore,4.118786600010935,0.3165155738079889,0.1672053532413921,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.9229954651305308,0.0878729499366051,0.031055900621118,0.2,0.053763440860215,0.16,0.8181316335321653,5.0,8003.0,156.0,20.0,0.0297619047619047,0.36,0.0549786194257788,1.0,0.2,0.5377846790890269,0.9988367546432062,24,0.0297619047619047,0.36,0.0549786194257788,,,,,,,,,,,,1.0,,,,,,,,,,,,
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,7,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,24,1,8184,25,4000,6520,6544,zscore,sigma,3.0,range,datasets\normalized\zscore,4.165059699997073,0.3153263268773892,0.168021555575651,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9231278342934184,0.0878859002939055,0.031055900621118,0.2,0.053763440860215,0.16,0.8193909936043424,5.0,8003.0,156.0,20.0,0.0297619047619047,0.36,0.0549786194257788,1.0,0.2,0.5377846790890269,0.9988367546432062,24,0.0297619047619047,0.36,0.0549786194257788,,,,,,,,,,,,2.0,,,,,,,,,,,,
