dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0944674000202212,0.3113810750185131,0.0650380886387774,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.8141572902226528,0.3047886390650234,0.5888888888888889,0.263681592039801,0.3642611683848797,0.3532338308457711,0.5064953409348455,53.0,10762.0,37.0,148.0,0.6,0.2703150912106136,0.3727134146341463,1.0,0.087893864013267,0.7392828282828282,0.997250565355043,81,0.6,0.2703150912106136,0.3727134146341463,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,4,auto,auto_ablation,Measures a more local nonlinear boundary than the default `scale` heuristic.,ablation,gamma,Gamma 0.1,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0915041000116616,0.383717749590131,0.0631888699856667,"{""gamma"": 0.1, ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.7888822394187042,0.2862167842816063,0.6153846153846154,0.2388059701492537,0.3440860215053763,0.3034825870646766,0.5732843595471312,48.0,10769.0,30.0,153.0,0.75,0.263681592039801,0.3901840490797546,1.0,0.0796019900497512,0.7345104895104896,0.9971458616010856,81,0.75,0.263681592039801,0.3901840490797546,,,,,,,,,,,,,,,,rbf,0.05,0.1,0.1,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,2,auto,auto_ablation,Measures whether a linear novelty boundary is sufficient in the embedded window space.,ablation,kernel,Kernel linear,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.026259200007189,0.3867282966932376,0.0931496917955513,"{""gamma"": ""scale"", ""kernel"": ""linear"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.5124986236518123,0.2908122313007781,1.0,0.2189054726368159,0.3591836734693877,0.3034825870646766,0.6661773720798916,44.0,10799.0,0.0,157.0,1.0,0.2583747927031509,0.4106483921982077,1.0,0.0729684908789386,1.0,0.996553369516056,81,1.0,0.2583747927031509,0.4106483921982077,,,,,,,,,,,,,,,,linear,0.05,scale,0.1,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,3,auto,auto_ablation,Measures a more permissive novelty boundary.,ablation,nu,Nu 0.10,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1350420000089798,0.3175454400642389,0.0652141877392367,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1, ""train_fraction"": 0.1}",,,,,,,0.8130175126773762,0.309835982094313,0.6352941176470588,0.2686567164179104,0.3776223776223776,0.36318407960199,0.5131880032819492,54.0,10768.0,31.0,147.0,0.75,0.2716417910447761,0.3988312636961286,1.0,0.0895522388059701,0.7482866310160428,0.9972763455450024,81,0.75,0.2716417910447761,0.3988312636961286,,,,,,,,,,,,,,,,rbf,0.1,scale,0.1,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,5,auto,auto_ablation,Measures a longer mostly-normal warmup segment for fitting the boundary.,ablation,train_fraction,Train frac 0.20,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1500075000221841,0.4163881882729561,0.0693319175576315,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.7699501381876616,0.3474732243304222,1.0,0.208955223880597,0.345679012345679,0.3333333333333333,0.6243839409458507,42.0,10799.0,0.0,159.0,1.0,0.2557213930348259,0.4072900158478605,1.0,0.0696517412935323,1.0,0.9970047489823608,81,1.0,0.2557213930348259,0.4072900158478605,,,,,,,,,,,,,,,,rbf,0.05,scale,0.2,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.040589699987322,0.3305470208261762,0.1089095813079525,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.5220606208750916,0.0003800733733216,0.0,0.0,0.0,0.0,0.657275764750034,0.0,8080.0,102.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5569361786747935,0.9929130009775172,24,0.0,0.0,0.0,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,4,auto,auto_ablation,Measures a more local nonlinear boundary than the default `scale` heuristic.,ablation,gamma,Gamma 0.1,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.031240100011928,0.5011357335037141,0.1231920016011214,"{""gamma"": 0.1, ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.1400635541432412,0.0002086053399306,0.0,0.0,0.0,0.0,0.8707117383070786,0.0,8165.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4845537921913634,0.7390029325513197,24,0.0,0.0,0.0,,,,,,,,,,,,,,,,rbf,0.05,0.1,0.1,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,2,auto,auto_ablation,Measures whether a linear novelty boundary is sufficient in the embedded window space.,ablation,kernel,Kernel linear,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0113467999908607,0.521050387778476,0.109694590338359,"{""gamma"": ""scale"", ""kernel"": ""linear"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.3028599364458568,0.0002577981503432,0.0,0.0,0.0,0.0,0.8501341587935533,0.0,8143.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5928045968368549,0.9674975562072337,24,0.0,0.0,0.0,,,,,,,,,,,,,,,,linear,0.05,scale,0.1,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,3,auto,auto_ablation,Measures a more permissive novelty boundary.,ablation,nu,Nu 0.10,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0617522999818902,0.3368503045953166,0.1079660702584281,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1, ""train_fraction"": 0.1}",,,,,,,0.5073942801271083,0.0003712780870804,0.0,0.0,0.0,0.0,0.660748515370601,0.0,8077.0,105.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5554816599171438,0.9929130009775172,24,0.0,0.0,0.0,,,,,,,,,,,,,,,,rbf,0.1,scale,0.1,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,5,auto,auto_ablation,Measures a longer mostly-normal warmup segment for fitting the boundary.,ablation,train_fraction,Train frac 0.20,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0683922999887727,0.3234318853088142,0.1108051799202829,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.5713761916401858,0.0004505299769825,0.0,0.0,0.0,0.0,0.6558474250696631,0.0,8074.0,108.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5712823802541545,0.9929130009775172,24,0.0,0.0,0.0,,,,,,,,,,,,,,,,rbf,0.05,scale,0.2,,,,,
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,6,CIMIS44AirTemperature,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,24,1,8184,25,4000,5703,5727,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0434105000167619,0.2517909117383053,0.0785199784359068,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.998882215957838,0.7746459862641415,0.2577319587628865,1.0,0.4098360655737705,0.68,0.487350847046026,25.0,8087.0,72.0,0.0,0.043103448275862,1.0,0.0826446280991735,1.0,1.0,0.7117533835192631,1.0,24,0.043103448275862,1.0,0.0826446280991735,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
