algorithm_display,ablation_parameter,ablation_role,variant,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
SAND | Subseq x2,subsequence_multiplier,score_driver,distorted,38,0.03467708798342186,-0.013174788225183087,0.827690596569429
SAND | Init 3000,init_length,score_driver,distorted,38,0.020080795278359726,0.003599647830526504,1.2879561378460784
SAND | Overlap 64,overlap,score_driver,distorted,38,0.009549112804452703,0.003292669118403015,2.306344964309948
SAND | k = 3,k,score_driver,distorted,38,0.007499605222232031,-0.005166868813081599,0.7531627503478245
SAND | Alpha 0.7,alpha,score_driver,distorted,38,-0.003548284834551477,-0.004662794933260901,1.1123088850642773
SAND | Batch 1000,batch_size,score_driver,distorted,38,-0.01577853245488045,-0.01813762871687989,1.1451154115058932
SAND | k = 3,k,score_driver,noise,8,0.0005992957529510207,0.00586746345156558,0.582549045159876
SAND | Overlap 64,overlap,score_driver,noise,8,-0.0019011061040031946,0.006336049659939613,2.544846513850514
SAND | Batch 1000,batch_size,score_driver,noise,8,-0.007561868285087266,0.02560502744431027,0.9328639151055945
SAND | Alpha 0.7,alpha,score_driver,noise,8,-0.020680584356042267,-0.005774309466852617,0.9267645578543009
SAND | Init 3000,init_length,score_driver,noise,8,-0.029247514556362486,0.009602263225408594,0.9860891812886132
SAND | Subseq x2,subsequence_multiplier,score_driver,noise,8,-0.035271169077367784,-0.00728511688705287,0.7976642821056619
SAND | Init 3000,init_length,score_driver,raw,44,0.012690417318468011,0.007857823346628576,1.1971464225328163
SAND | Overlap 64,overlap,score_driver,raw,44,0.009281924219013676,0.010744806628009258,1.629632287781414
SAND | Subseq x2,subsequence_multiplier,score_driver,raw,44,0.003982035888358905,0.009066598207455498,0.8435151752816907
SAND | Alpha 0.7,alpha,score_driver,raw,44,0.002155812299600043,-0.006131443883415108,1.054571614230406
SAND | k = 3,k,score_driver,raw,44,-0.00027386963777984737,0.007428024966201216,0.7594160107705101
SAND | Batch 1000,batch_size,score_driver,raw,44,-0.032312852175287614,-0.000657759292617438,1.119166236652798
