algorithm_display,ablation_parameter,ablation_role,length_bucket,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
SAND | Subseq x2,subsequence_multiplier,score_driver,medium,84,0.010189091720852092,-0.0009869749319577374,0.8446616892770015
SAND | Init 3000,init_length,score_driver,medium,84,0.008237733231198602,0.0012862605588096917,1.226162873535213
SAND | Overlap 64,overlap,score_driver,medium,84,0.006181645586687727,0.0008263439313194216,1.9977310573547893
SAND | k = 3,k,score_driver,medium,84,0.0033062988143584765,-0.003530510021508985,0.7338089127743844
SAND | Alpha 0.7,alpha,score_driver,medium,84,-0.00244552092117729,-0.003691351594785738,1.069305090163303
SAND | Batch 1000,batch_size,score_driver,medium,84,-0.024783865181890602,-0.011450172959251955,1.104801268303428
SAND | Init 3000,init_length,score_driver,long,6,0.06591647911977994,0.0752171772791532,1.084634650490985
SAND | Subseq x2,subsequence_multiplier,score_driver,long,6,0.059147644214550765,-0.012847778706814741,0.6661071232683117
SAND | Overlap 64,overlap,score_driver,long,6,0.039467312348668286,0.09652807086340125,1.9823820998603414
SAND | Alpha 0.7,alpha,score_driver,long,6,0.0,-0.030515113351166318,1.0435629246162257
SAND | Batch 1000,batch_size,score_driver,long,6,0.0,0.07474724133584053,1.2362174722173094
SAND | k = 3,k,score_driver,long,6,0.0,0.07899910550583869,0.8424887792250811
