algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
SAND | Subseq x2,Subseq x2,sparse,63,0.945511800986319,0.24017330584042668,0.20831873181867105,0.20831873181867105,3.086232144442398
SAND | Overlap 64,Overlap 64,sparse,63,0.9583277044516918,0.23417584845022882,0.2072368814521714,0.2072368814521714,9.732312999999738
SAND | Batch 1000,Batch 1000,sparse,63,0.954821744689138,0.22477125538549003,0.20269170176277904,0.20269170176277904,6.463864274601552
SAND | Alpha 0.7,Alpha 0.7,sparse,63,0.9446862484939248,0.22977793967960977,0.20225814988379878,0.20225814988379878,5.110560500000175
SAND | k = 3,k = 3,sparse,63,0.9540516731178236,0.2313827586484225,0.2022279036189615,0.2022279036189615,4.1541256920618395
SAND | Init 3000,Init 3000,sparse,63,0.9552370869289234,0.22830163894626826,0.19925195011787916,0.19925195011787916,5.808824773015831
SAND | Baseline,Baseline,sparse,64,0.9486248830176445,0.22376974302352778,0.19439846309313974,0.19439846309313974,6.5342112062521664
SAND | Init 3000,Init 3000,moderate,27,0.9055327164849806,0.5226691709630115,0.5412422318117767,0.5412422318117767,6.993830870368078
SAND | Subseq x2,Subseq x2,moderate,27,0.9015827719384545,0.5222963651553253,0.5246531153876888,0.5246531153876888,2.934787903702171
SAND | Overlap 64,Overlap 64,moderate,27,0.9016261779983841,0.5052202693687456,0.5103364156330361,0.5103364156330361,14.697762366668838
SAND | Baseline,Baseline,moderate,27,0.9013881807353896,0.5030066863258581,0.5050904819349649,0.5050904819349649,9.325579007405192
SAND | k = 3,k = 3,moderate,27,0.8941536020669297,0.5054934012980766,0.5043079934302419,0.5043079934302419,3.7257759333318705
SAND | Alpha 0.7,Alpha 0.7,moderate,27,0.8911693704376092,0.4747369045782371,0.4863428685239547,0.4863428685239547,7.3834775037011475
SAND | Batch 1000,Batch 1000,moderate,27,0.8667729583342185,0.3826517030167004,0.4158341764396706,0.4158341764396706,7.037453914812499
