algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
SAND | Subseq x2,Subseq x2,distorted,38,0.9299224157489845,0.3454486831588182,0.3184143157940809,0.3184143157940809,2.322584881578223
SAND | Init 3000,Init 3000,distorted,38,0.9466968518046941,0.3186729040808557,0.30381802308901884,0.30381802308901884,5.4139560289469575
SAND | Overlap 64,Overlap 64,distorted,38,0.9463898730925706,0.32564521655679585,0.29328634061511183,0.29328634061511183,10.318530649999095
SAND | k = 3,k = 3,distorted,38,0.9379303351610858,0.32211898362837554,0.2912368330328911,0.2912368330328911,3.149266631576833
SAND | Baseline,Baseline,distorted,38,0.9430972039741675,0.31379872717204027,0.28373722781065913,0.28373722781065913,6.654972342107182
SAND | Alpha 0.7,Alpha 0.7,distorted,38,0.9384344090409066,0.30699638598899226,0.2801889429761076,0.2801889429761076,4.862119589473495
SAND | Batch 1000,Batch 1000,distorted,38,0.9249595752572877,0.2754867848894353,0.2679586953557786,0.2679586953557786,5.84211704473388
SAND | k = 3,k = 3,noise,8,0.8726780492964537,0.27927299285562857,0.28470803680081064,0.28470803680081064,3.897692537502735
SAND | Baseline,Baseline,noise,8,0.866810585844888,0.27776623944975326,0.28410874104785966,0.28410874104785966,7.524291112502397
SAND | Overlap 64,Overlap 64,noise,8,0.8731466355048276,0.27667483414731414,0.2822076349438564,0.2822076349438564,10.662663362498279
SAND | Batch 1000,Batch 1000,noise,8,0.8924156132891984,0.28623019118049015,0.27654687276277234,0.27654687276277234,6.406539699994028
SAND | Alpha 0.7,Alpha 0.7,noise,8,0.8610362763780355,0.27530515356009777,0.26342815669181735,0.26342815669181735,7.494982224990963
SAND | Init 3000,Init 3000,noise,8,0.8764128490702967,0.27090604785480665,0.2548612264914972,0.2548612264914972,6.1745119374973
SAND | Subseq x2,Subseq x2,noise,8,0.8595254689578352,0.2712701621135439,0.24883757197049186,0.24883757197049186,3.3685657249952783
SAND | Init 3000,Init 3000,raw,44,0.9464440150108158,0.3231420939023918,0.3086917824324924,0.3086917824324924,6.810522036363016
SAND | Overlap 64,Overlap 64,raw,44,0.9493309982921965,0.3137752005223589,0.305283289333038,0.305283289333038,12.10385980227478
SAND | Subseq x2,Subseq x2,raw,44,0.9476527898716427,0.31672065614084594,0.29998340100238324,0.29998340100238324,3.6014806181794317
SAND | Alpha 0.7,Alpha 0.7,raw,44,0.9324547477807722,0.3051273347128484,0.2981571774136244,0.2981571774136244,6.286336406818671
SAND | k = 3,k = 3,raw,44,0.9460142166303885,0.3125165979358043,0.2957274954762445,0.2957274954762445,4.805731738634429
SAND | Baseline,Baseline,raw,45,0.9394954434490509,0.3056880563592976,0.28942355700037936,0.28942355700037936,7.9310416111108175
SAND | Batch 1000,Batch 1000,raw,44,0.9379284323715699,0.26667831171578005,0.26368851293873674,0.26368851293873674,7.363225902272626
