algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
SAND | Subseq x2,Subseq x2,medium,84,0.9446855497288882,0.34297260896854637,0.3206527185090068,0.3206527185090068,2.387340486903018
SAND | Init 3000,Init 3000,medium,84,0.9469587852196556,0.3347644808054815,0.3187013600193533,0.3187013600193533,5.282248647618135
SAND | Overlap 64,Overlap 64,medium,84,0.9464988685921654,0.3369470182719566,0.3166452723748424,0.3166452723748424,8.747132009524128
SAND | k = 3,k = 3,medium,84,0.9421420146393368,0.3360170908321272,0.31376992560251316,0.31376992560251316,3.197787515475024
SAND | Baseline,Baseline,medium,84,0.9456725246608458,0.3321719533845708,0.3104636267881547,0.3104636267881547,5.693518165477144
SAND | Alpha 0.7,Alpha 0.7,medium,84,0.9419811730660602,0.3249274598027121,0.30801810586697737,0.30801810586697737,4.822074255952473
SAND | Batch 1000,Batch 1000,medium,84,0.934222351701594,0.2915736317944855,0.28567976160626407,0.28567976160626407,5.387857130950752
SAND | Init 3000,Init 3000,long,6,0.8474636438609294,0.06247574699262708,0.06591647911977994,0.06591647911977994,18.513417966668687
SAND | Subseq x2,Subseq x2,long,6,0.7593986878749616,0.07053682896379525,0.059147644214550765,0.059147644214550765,12.189216266662697
SAND | Overlap 64,Overlap 64,long,6,0.8687745374451775,0.015079365079365067,0.039467312348668286,0.039467312348668286,45.869369016669225
SAND | k = 3,k = 3,long,6,0.8512455720876151,0.0,0.0,0.0,15.6152862499924
SAND | Batch 1000,Batch 1000,long,6,0.8469937079176169,0.0,0.0,0.0,24.109117666662012
SAND | Baseline,Baseline,long,7,0.8018544744962438,0.0,0.0,0.0,27.389232071428392
SAND | Alpha 0.7,Alpha 0.7,long,6,0.7417313532306099,0.0,0.0,0.0,19.37749443332238
