algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
SAND | Subseq x2,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,range,0.999985562239218,0.9989884835854864,0.99,0.9611650485436892,0.9753694581280788,0.99,0.9689320388349516,0.9793527283540664,0.9793527283540664,0.9998613333333332,0.99997928802589,0.7794630999851506
SAND | Baseline,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,range,0.9999553741939464,0.9968744179274563,0.9439252336448598,0.9805825242718448,0.961904761904762,0.9439252336448598,0.9844660194174756,0.9637694797861928,0.9637694797861928,0.999185046728972,0.9999948220064724,4.253289799991762
SAND | Init 3000,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,range,0.9998411846313972,0.9891191923298562,0.94,0.912621359223301,0.9261083743842364,0.94,0.9300970873786408,0.9350223237462362,0.9350223237462362,0.999128,0.999895145631068,7.476933400001144
SAND | Init 3000,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,range,0.999389799581746,0.9739289077155118,0.8596491228070176,0.9130434782608696,0.8855421686746988,0.8596491228070176,0.9304347826086956,0.8936424066814386,0.8936424066814386,0.9965380116959064,0.9998376811594202,6.00502250000136
SAND | k = 3,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9993254788719164,0.9715647561190496,0.8102564102564103,0.9813664596273292,0.8876404494382022,0.8102564102564103,0.9850931677018632,0.889161713829504,0.889161713829504,0.9949907692307692,0.9999925465838508,2.852668100007577
SAND | Subseq x2,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9993280178473044,0.971682783651339,0.8296703296703297,0.937888198757764,0.880466472303207,0.8296703296703297,0.9503105590062112,0.8859021799566694,0.8859021799566694,0.9956395604395604,0.9999171842650104,0.9991189000138548
SAND | Baseline,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9992857015908374,0.9698733451146694,0.8148148148148148,0.9565217391304348,0.88,0.8148148148148148,0.9652173913043478,0.8836620227971775,0.8836620227971775,0.9951604938271604,0.9999594202898552,4.283491299982416
SAND | Init 3000,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9992518485856636,0.9685063201987464,0.825136612021858,0.937888198757764,0.877906976744186,0.825136612021858,0.9503105590062112,0.8833110303957179,0.8833110303957179,0.9955001821493624,0.9999171842650104,6.94992009998532
SAND | Alpha 0.7,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9992442316594996,0.9681724177349414,0.8782051282051282,0.8509316770186336,0.8643533123028391,0.8782051282051282,0.8807453416149069,0.8794734006673035,0.8794734006673035,0.9970769230769232,0.9995229813664596,4.968137299991213
SAND | Init 3000,128_UCR_Anomaly_GP711MarkerLFM5z2_5000_7175_7388,range,0.9978673414204402,0.8878447869837057,0.8808290155440415,0.794392523364486,0.8353808353808354,0.8808290155440415,0.8355140186915888,0.8575733124178286,0.8575733124178286,0.9976463730569948,0.9992461059190032,2.462096600007498
SAND | Subseq x2,054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,range,0.9995118760064412,0.959396010386178,1.0,0.6666666666666666,0.8,1.0,0.7333333333333334,0.8461538461538461,0.8461538461538461,1.0,0.9993217634151208,0.8476104000001214
SAND | Overlap 64,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9986814254484888,0.9463571790787508,0.7712765957446809,0.9006211180124224,0.830945558739255,0.7712765957446809,0.920496894409938,0.8393058707276015,0.8393058707276015,0.9937787234042552,0.9997879917184264,6.41096780000953
