figure_id,figure_group,algorithm,title,png_path,pdf_path,caption
benchmark_overview,overview,,Benchmark overview,results\run_sessions\first-try\figures\thesis\benchmark_overview.png,results\run_sessions\first-try\figures\thesis\benchmark_overview.pdf,"Benchmark overview across 91 benchmarked datasets and 40 algorithm configurations. The top row summarizes dataset coverage in series length and anomaly ratio. The bottom-left panel shows the runtime versus Mean Range F1 tradeoff with the Pareto frontier, and the bottom-right panel compares mean Range F1 and mean ROC AUC across configurations. In this run, the strongest average configuration was SAND | Subseq x2 with mean Range F1 0.303 and mean ROC AUC 0.932."
pareto_frontier,overview,,Pareto frontier,results\run_sessions\first-try\figures\thesis\pareto_frontier.png,results\run_sessions\first-try\figures\thesis\pareto_frontier.pdf,"Pareto frontier for the current benchmark, using mean runtime and mean Range F1 as the competing objectives. Points on the frontier are the non-dominated configurations that maximize accuracy without being strictly slower and worse than another option."
metric_heatmap,overview,,Metric heatmap by configuration,results\run_sessions\first-try\figures\thesis\metric_heatmap.png,results\run_sessions\first-try\figures\thesis\metric_heatmap.pdf,"Metric heatmap across all benchmarked configurations. The figure places mean Range F1, ROC AUC, average precision, classical F1, range metrics, and affiliation metrics on one aligned grid so broad winners and methods with metric-specific strengths are visible at a glance."
family_evaluation_heatmap,overview,,Evaluation metric by dataset family,results\run_sessions\first-try\figures\thesis\family_evaluation_heatmap.png,results\run_sessions\first-try\figures\thesis\family_evaluation_heatmap.pdf,Mean Range F1 by dataset family and configuration. This view shows where each method family is strongest instead of averaging away regime structure. The strongest family-specific result in this run was Matrix Profile | Baseline on TkeepFifthMARS with mean Range F1 0.856.
algorithm_wins,overview,,Per-dataset win counts,results\run_sessions\first-try\figures\thesis\algorithm_wins.png,results\run_sessions\first-try\figures\thesis\algorithm_wins.pdf,Per-dataset win counts for the two most defensible leaderboard views in this notebook: best Range F1 and best ROC AUC. Matrix Profile | Subseq x4 won the most datasets by Range F1 with 10 wins.
ablation_overview,ablation,,Global one-factor-at-a-time ablation overview,results\run_sessions\first-try\figures\thesis\ablation_overview.png,results\run_sessions\first-try\figures\thesis\ablation_overview.pdf,"One-factor-at-a-time ablation overview across all enabled algorithms. Each non-baseline variant changes one visible algorithm control while preprocessing, thresholding, and evaluation remain fixed. Bar-chart error bars show bootstrap 95% confidence intervals over paired dataset deltas, and the scatter plot separates runtime cost from accuracy shift. The strongest positive shift in this run was OCSVM | Gamma 0.1 with mean Range F1 delta +0.037."
isolation_forest_paper_panel,algorithm,Isolation Forest,Isolation Forest paper panel,results\run_sessions\first-try\figures\thesis\isolation_forest_paper_panel.png,results\run_sessions\first-try\figures\thesis\isolation_forest_paper_panel.pdf,"Paper panel for Isolation Forest. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest Isolation Forest variant was Isolation Forest | Trees 400 with mean Range F1 0.153 and mean ROC AUC 0.720."
isolation_forest_ablation_panel,ablation,Isolation Forest,Isolation Forest ablation panel,results\run_sessions\first-try\figures\thesis\isolation_forest_ablation_panel.png,results\run_sessions\first-try\figures\thesis\isolation_forest_ablation_panel.pdf,"One-factor-at-a-time ablation panel for Isolation Forest. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for Isolation Forest in this run was Trees 400 with mean Range F1 delta +0.010."
isolation_forest_variant_comparison,algorithm,Isolation Forest,Isolation Forest side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\isolation_forest_variant_comparison_141_ucr_anomaly_internalbleeding5_4000_6200_6370.png,results\run_sessions\first-try\figures\thesis\isolation_forest_variant_comparison_141_ucr_anomaly_internalbleeding5_4000_6200_6370.pdf,"Side-by-side comparison of 6 Isolation Forest variants on the shared dataset 141_UCR_Anomaly_InternalBleeding5_4000_6200_6370. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
isolation_forest_showcase,deep_dive,Isolation Forest,Isolation Forest showcase deep dive,results\run_sessions\first-try\figures\thesis\isolation_forest_showcase_054_ucr_anomaly_distortedwalkingaceleration5_2700_5920_5979.png,results\run_sessions\first-try\figures\thesis\isolation_forest_showcase_054_ucr_anomaly_distortedwalkingaceleration5_2700_5920_5979.pdf,"Showcase deep dive for Isolation Forest on 054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was Isolation Forest | Bootstrap on with Range F1 0.670, ROC AUC 1.000, and runtime 0.366s."
