dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,prepared_dataset_dir,runtime_seconds,score_mean,score_std,error,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,45.151192999997875,0.3042834673445165,0.22165403081995075,,0.5954308474250166,0.03844110476875112,0.0,0.0,0.0,0.0,0.9692455598043689,0,6421,31,232,0.0,0.0,0.0,0.0,0.0,0.6440754039497307,0.6487133453022141,115
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,2.4936738000251353,0.32281609515256643,0.24834181641969102,,0.9996401972624799,0.9715033339596673,0.0,0.0,0.0,0.9,1.0678415444116396,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,3.1408465999993496,0.2729162672839791,0.2066730663736489,,0.5152672520683241,0.033277764501656225,0.0,0.0,0.0,0.0,0.8929354664049259,0,6402,50,232,0.0,0.0,0.0,0.0,0.0,0.13300418910831838,0.14454745248560644,115
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,1.6997477000113577,0.29316804643326855,0.23512625982603177,,0.9987746578099839,0.8961194496854235,1.0,0.11666666666666667,0.208955223880597,0.7333333333333333,0.998546825911364,7,6624,0,53,1.0,0.29333333333333333,0.45360824742268036,1.0,0.11666666666666667,1.0,0.9963469978057051,115
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,3.2140197999833617,0.08490612865538037,0.14093603595419493,,0.993849020428446,0.8860819692283985,0.8883928571428571,0.5543175487465181,0.6826758147512865,0.7771587743732591,0.5077142365179652,199,6937,25,160,0.8883928571428571,0.6434540389972145,0.746340869424037,1.0,0.5543175487465181,0.9941459987901731,0.9902596377270103,178
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,4.382393500010949,0.07934677224253216,0.14225299975506378,,0.9863975068797668,0.8660924503452406,0.8771186440677966,0.5766016713091922,0.6957983193277311,0.7883008356545961,0.5061057715077235,207,6933,29,152,0.8771186440677966,0.6612813370473538,0.7540590182247271,1.0,0.5766016713091922,0.9934875063377004,0.9912093230486269,178
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,4.258974800002761,0.18951154133849546,0.14082060868474558,,0.9916478569883203,0.8190363546719273,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6119733673927323,126,7199,45,45,0.7368421052631579,0.7894736842105263,0.7622504537205083,1.0,0.7368421052631579,0.9923341732618803,0.9984029527628917,173
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,4.754232199979015,0.19209837723801662,0.14987242599336886,,0.9942037128529033,0.8501103620940813,0.7682926829268293,0.7368421052631579,0.7522388059701492,0.7602339181286549,0.6417156552181232,126,7206,38,45,0.7682926829268293,0.7894736842105263,0.7787391841779976,1.0,0.7368421052631579,0.9934690722497246,0.9984029527628917,173
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,4.50185010000132,0.29745421051051607,0.20703589305551842,,0.9828661394078794,0.5661955804304202,0.4897959183673469,0.43636363636363634,0.46153846153846156,0.45454545454545453,0.9185618896770715,48,7341,50,62,0.32432432432432434,0.5490909090909091,0.4077866546641161,1.0,0.43636363636363634,0.794563445962307,0.9953412272303087,165
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,5.24216080000042,0.29449024081692143,0.1791517629424142,,0.7700397289086235,0.03647577777210929,0.0,0.0,0.0,0.0,0.8319455296441641,0,7278,113,110,0.0,0.0,0.0,0.0,0.0,0.18417544327423013,0.19170777229702712,165
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681,144,InternalBleeding,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,175,7501,83,4200,6599,6681,zscore,datasets\normalized\zscore,5.003221999999369,0.3276666885736531,0.24572980031362562,,0.5580889207950703,0.012209551122453048,0.0,0.0,0.0,0.0,1.06485608951453,0,7418,0,83,0.0,0.0,0.0,0.0,0.0,,0.0,175
