algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,run_count,success_count,mean_roc_auc,median_roc_auc,mean_average_precision,median_average_precision,mean_precision,mean_recall,mean_f1,median_f1,mean_evaluation_precision,mean_evaluation_recall,mean_evaluation_f1,median_evaluation_f1,mean_precision_at_k,mean_range_precision,mean_range_recall,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds,median_runtime_seconds,success_rate
sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,sand__tab_07,range,50,50,0.942076572835317,0.9914696168009695,0.4610543926266751,0.4310180925083845,0.2984126703516001,0.5979586322141381,0.340536217467959,0.2923769923769924,0.2804344322123676,0.6064485384243717,0.3294909444700373,0.2559589632132484,0.394574609807558,0.2804344322123676,0.6064485384243717,0.3294909444700373,0.7679958503418579,0.8874116601783223,22.56016030999599,9.209893350023776,1.0
sand,SAND,Distance-based,Clustering,SAND | Init 3000,Init 3000,sand__tab_03,range,50,50,0.9412347656430887,0.9893930074385164,0.44296333118699927,0.3457939071829753,0.29000821798038745,0.5522608910098521,0.31784246851589865,0.2441327466079941,0.28431291301633616,0.5725842230119633,0.3207599409146687,0.21359485910860138,0.37705771312530134,0.28431291301633616,0.5725842230119633,0.3207599409146687,0.7588831352158122,0.8608609268212879,12.32474950199714,6.335784799972316,1.0
sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,sand__tab_06,range,50,50,0.934379710311307,0.9901571919006464,0.44873318328728834,0.4003148393392968,0.2881917354228791,0.5842553596664269,0.3316424421655099,0.28290126080181327,0.27087651916029915,0.5890369407943661,0.3184355047006363,0.21446705922512374,0.38390921644268944,0.27087651916029915,0.5890369407943661,0.3184355047006363,0.7735982316291541,0.8855563120074517,2.8336824960028753,2.58770655002445,1.0
sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,range,50,50,0.9394072849807383,0.9912471934071723,0.46226088038445956,0.44647094959892913,0.2583620601709876,0.5899784795438557,0.3167727361458165,0.242003367003367,0.24217505160199418,0.5925542122065132,0.3023572732915072,0.21135929288103203,0.3943602716286945,0.24217505160199418,0.5925542122065132,0.3023572732915072,0.7690513766199569,0.8282937797283723,10.889691274001962,4.816341550002107,1.0
sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,sand__tab_02,range,50,50,0.9395640759349692,0.9895411894301586,0.44685079142386896,0.3427485808792366,0.25824427113785076,0.5653747318414393,0.3083045649783956,0.2512626262626263,0.2444038657482806,0.5733610099629474,0.29744788795742766,0.20821003890624146,0.3884416916806209,0.2444038657482806,0.5733610099629474,0.29744788795742766,0.7579931931023144,0.8114692140412275,9.794849306001561,4.956089500017697,1.0
sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,sand__tab_05,range,50,50,0.9329685804410505,0.9908992409197604,0.4419136224003898,0.3761480379835418,0.2544186998226523,0.5806698484832609,0.312633858900561,0.26728826728826727,0.2370355476742371,0.5767807767457924,0.29488543368825826,0.2126642771804062,0.3743933662225984,0.2370355476742371,0.5767807767457924,0.29488543368825826,0.7812629541014242,0.8359593649155663,5.256865077995462,2.8521114499890245,1.0
matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,range,50,50,0.9479144627089185,0.9824168713689049,0.3571749304893148,0.2657882055581013,0.27724551711497036,0.6567042962545865,0.3423242409718761,0.28249297958841524,0.22056663901737633,0.6399323602363927,0.2735687310316525,0.13694874224449138,0.31876754398758395,0.22056663901737633,0.6399323602363927,0.2735687310316525,0.7686594934057254,0.9787344015485263,0.12040381600265392,0.10474784998223186,1.0
sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,sand__tab_04,range,50,50,0.9264608526617938,0.9806460084958568,0.3654544819490506,0.26428956768589046,0.22440496271683189,0.5030757825879162,0.2593885657201799,0.2019216528436019,0.21242232544344375,0.5110124628050268,0.2527409194274301,0.19548872180451127,0.3074319097182001,0.21242232544344375,0.5110124628050268,0.2527409194274301,0.7312639200707751,0.818068292114324,10.388163536003558,5.4389952500059735,1.0
matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,range,50,50,0.9324195831469964,0.989036134672503,0.38412007846188445,0.3773008067799145,0.22866578917485264,0.5829302133650632,0.2841498685055629,0.20942537221606988,0.2004579072069751,0.5605515767313894,0.24924887762271705,0.16767819842756865,0.33949838029620905,0.2004579072069751,0.5605515767313894,0.24924887762271705,0.7956764588412387,0.8419503759365261,0.11255794999888166,0.09803299998748116,1.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,range,50,50,0.6848405132868232,0.8214050529918437,0.26315271687692227,0.05199701856515007,0.26056502459801495,0.27794008856289915,0.24262563984295227,0.011764705882352941,0.2042066785269782,0.27861584620409474,0.2094776691187268,0.009670079635949942,0.23746600639065366,0.2042066785269782,0.27861584620409474,0.2094776691187268,0.7452122458827353,0.8790126291750969,0.11020391799742356,0.11975880002137274,1.0
matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,range,50,50,0.886652779870893,0.9760134425064304,0.29069108612350764,0.18913198648747698,0.18034042941628367,0.49588703029958503,0.24681598816688732,0.08476202032809241,0.12699643786366466,0.4896303223239156,0.18873844468511397,0.08289282752902155,0.24624498566652625,0.12699643786366466,0.4896303223239156,0.18873844468511397,0.8034511862135085,0.6960236106234943,0.123975789998658,0.09767170003033243,1.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Seed 7,Seed 7,isolation_forest__tab_06,range,50,50,0.7522367647151387,0.9043918598866401,0.2211532084253032,0.03290162594309416,0.23342861423310168,0.23269380177110957,0.19814614126704255,0.0,0.22336244485255372,0.23926362124309977,0.18761434012411488,0.0,0.20090485292137386,0.22336244485255372,0.23926362124309977,0.18761434012411488,0.7468704173095028,0.8162447380149725,0.535058016005205,0.49054585001431406,1.0
damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,range,50,50,0.8598104760852783,0.9518106623694442,0.22294505099522405,0.11648872836556218,0.19290723739877863,0.3282307416192707,0.21708779372746637,0.03616196602342075,0.17876919723787985,0.3182131947415387,0.18550012299950802,0.04846833069191041,0.1777317916874001,0.17876919723787985,0.3182131947415387,0.18550012299950802,0.7638510312605766,0.6638790577689088,19.079413492003223,6.198876000009477,1.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Max feat 0.6,Max feat 0.6,isolation_forest__tab_04,range,50,50,0.7395337282984126,0.8705282584606241,0.23685712663774436,0.01947613903638357,0.2362729001654719,0.23030406268450956,0.200002963406666,0.0,0.2265211175522798,0.2247576911629761,0.18520058051442065,0.0,0.21522417248798967,0.2265211175522798,0.2247576911629761,0.18520058051442065,0.7527733776530537,0.7561994678942385,1.4223561279976276,1.4699339499638882,1.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Trees 400,Trees 400,isolation_forest__tab_02,range,50,50,0.7391876479381342,0.8789185730575475,0.2350290010642568,0.01925728565062828,0.2424666160535744,0.23865891084288968,0.20147354440862614,0.0,0.2351789069815711,0.2360944527558346,0.18169818897562817,0.0,0.2174180312405805,0.2351789069815711,0.2360944527558346,0.18169818897562817,0.7799208254293502,0.7452560262409064,1.0425312540039886,0.9642128499981482,1.0
damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,range,50,50,0.8638624525805461,0.9491087891825445,0.24085042035492069,0.13928167460668067,0.1848286034872654,0.31152672972850154,0.20726016199530978,0.007246376811594203,0.1777184195497034,0.3019252787247845,0.17818840231092017,0.02097902097902098,0.204552746324895,0.1777184195497034,0.3019252787247845,0.17818840231092017,0.7639425426197064,0.6497241307025701,15.8575829599984,6.158583849988645,1.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,range,50,50,0.7170337720498283,0.8262680530188087,0.2590374025567331,0.12619602574731123,0.22722380209995138,0.2659928090600603,0.205645839551982,0.060933448573898014,0.1830565352154631,0.2987837399172275,0.17714410626672664,0.06697406508214887,0.23873778012362148,0.1830565352154631,0.2987837399172275,0.17714410626672664,0.7653662688212333,0.8194253660153693,0.14030610799789428,0.14695550000760704,1.0
