algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
HBOS | Baseline,Baseline,distorted,56,0.553248748163412,0.07572698853427969,0.0723462659004428,0.0723462659004428,0.661045783930084
HBOS | Tol 0.2,Tol 0.2,distorted,56,0.553248748163412,0.07572698853427969,0.0723462659004428,0.0723462659004428,0.6517467767880589
HBOS | Alpha 0.05,Alpha 0.05,distorted,56,0.5528247623575681,0.07541875034275362,0.0706165240903553,0.0706165240903553,0.6599947285727207
HBOS | Bins 20,Bins 20,distorted,56,0.5516505245819788,0.07188616329599054,0.06357926075634898,0.06357926075634898,0.6568917607141235
HBOS | Bins 20,Bins 20,noise,11,0.7518747271633334,0.16933958737996493,0.14518276997912352,0.14518276997912352,0.5139831818153404
HBOS | Baseline,Baseline,noise,11,0.7417985731653612,0.1622843417048836,0.13459492750130825,0.13459492750130825,0.52240924545913
HBOS | Tol 0.2,Tol 0.2,noise,11,0.7417985731653612,0.1622843417048836,0.13459492750130825,0.13459492750130825,0.5099192636288618
HBOS | Alpha 0.05,Alpha 0.05,noise,11,0.7480398193066518,0.17344496031813514,0.12750106679022602,0.12750106679022602,0.5217247909035492
HBOS | Bins 20,Bins 20,raw,60,0.5654519526343527,0.1077247280952344,0.0986601194174313,0.0986601194174313,0.6721064266603207
HBOS | Baseline,Baseline,raw,60,0.570500092096125,0.091888333893328,0.08854994377823407,0.08854994377823407,0.675878533332919
HBOS | Tol 0.2,Tol 0.2,raw,60,0.570500092096125,0.091888333893328,0.08854994377823407,0.08854994377823407,0.6738365083336249
HBOS | Alpha 0.05,Alpha 0.05,raw,60,0.5667590964649747,0.0906034836919841,0.08654289431919773,0.08654289431919773,0.6751034466690423
