algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Isolation Forest | Trees 400,Trees 400,sparse,125,0.6456294438918697,0.09377633801172422,0.054424931877777534,0.054424931877777534,1.4952480671994854
Isolation Forest | Seed 7,Seed 7,sparse,125,0.650954806135259,0.09496307522547344,0.05415691183038563,0.05415691183038563,0.765338625598466
Isolation Forest | Max feat 0.6,Max feat 0.6,sparse,125,0.6472049791534155,0.09677875109374047,0.05309489959744741,0.05309489959744741,4.992347841598327
Isolation Forest | Bootstrap on,Bootstrap on,sparse,125,0.6410894478604452,0.096131709041522,0.049908554355952005,0.049908554355952005,0.6912359128005336
Isolation Forest | Baseline,Baseline,sparse,125,0.6389981521062172,0.09449202477633394,0.04889333402777088,0.04889333402777088,0.7576338607983198
Isolation Forest | Max samples auto,Max samples auto,sparse,125,0.6389981521062172,0.09449202477633394,0.04889333402777088,0.04889333402777088,0.7604425472007134
Isolation Forest | Trees 400,Trees 400,moderate,37,0.5855462852767491,0.27843301488288275,0.25307138403767043,0.25307138403767043,1.2126072162189647
Isolation Forest | Max feat 0.6,Max feat 0.6,moderate,37,0.5839150702515151,0.2698412313133695,0.2384821074583201,0.2384821074583201,4.2199719432455085
Isolation Forest | Seed 7,Seed 7,moderate,37,0.5956270789251421,0.2719691203806783,0.23700714428020353,0.23700714428020353,0.62836187838174
Isolation Forest | Baseline,Baseline,moderate,37,0.5858384347682911,0.2714439802455379,0.23563864871889917,0.23563864871889917,0.656207948648591
Isolation Forest | Max samples auto,Max samples auto,moderate,37,0.5858384347682911,0.2714439802455379,0.23563864871889917,0.23563864871889917,0.6299113459465081
Isolation Forest | Bootstrap on,Bootstrap on,moderate,37,0.5847583242003601,0.2698031432938631,0.23114616961515677,0.23114616961515677,0.5824482054095652
