algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Isolation Forest | Max feat 0.6,Max feat 0.6,distorted,56,0.6074950046136065,0.12631711201914828,0.10077838521689568,0.10077838521689568,2.856340042855923
Isolation Forest | Seed 7,Seed 7,distorted,56,0.6167063520128229,0.11824068495206955,0.09923286809741187,0.09923286809741187,0.5905696339281609
Isolation Forest | Trees 400,Trees 400,distorted,56,0.6071183066575196,0.12018297076835951,0.09353819040624638,0.09353819040624638,1.1593147874981307
Isolation Forest | Bootstrap on,Bootstrap on,distorted,56,0.6080483136844193,0.12298276881376209,0.09043669352684376,0.09043669352684376,0.5338357928579042
Isolation Forest | Baseline,Baseline,distorted,56,0.6008470410860892,0.11753451858453681,0.08615928327068875,0.08615928327068875,0.616384755355414
Isolation Forest | Max samples auto,Max samples auto,distorted,56,0.6008470410860892,0.11753451858453681,0.08615928327068875,0.08615928327068875,0.5891789678581907
Isolation Forest | Seed 7,Seed 7,noise,11,0.7794414710958485,0.19206426388796152,0.1571708996642072,0.1571708996642072,0.594805136365308
Isolation Forest | Max feat 0.6,Max feat 0.6,noise,11,0.7763053331855573,0.19997537466208595,0.14788233168947898,0.14788233168947898,2.0773135454563256
Isolation Forest | Trees 400,Trees 400,noise,11,0.7874576671581287,0.20759925958979855,0.14238269449896346,0.14238269449896346,1.1668254000013059
Isolation Forest | Baseline,Baseline,noise,11,0.7734757480153079,0.2007228282512659,0.13017509212954495,0.13017509212954495,0.5868286636382849
Isolation Forest | Max samples auto,Max samples auto,noise,11,0.7734757480153079,0.2007228282512659,0.13017509212954495,0.13017509212954495,0.5849883636427958
Isolation Forest | Bootstrap on,Bootstrap on,noise,11,0.7589365095266593,0.18820820356776055,0.11810866228400864,0.11810866228400864,0.5296201090889305
Isolation Forest | Trees 400,Trees 400,raw,61,0.6433625688516226,0.1665584296487403,0.13662494906911796,0.13662494906911796,1.2332836442620334
Isolation Forest | Baseline,Baseline,raw,61,0.6375302180078244,0.16474724464935658,0.1284947754079899,0.1284947754079899,0.6273742754119219
Isolation Forest | Max samples auto,Max samples auto,raw,61,0.6375302180078244,0.16474724464935658,0.1284947754079899,0.1284947754079899,0.6443700622943741
Isolation Forest | Max feat 0.6,Max feat 0.6,raw,61,0.6436986614046413,0.1611170533527878,0.12605073676032097,0.12605073676032097,3.5409509524599017
Isolation Forest | Seed 7,Seed 7,raw,61,0.6535702634894119,0.16828471421296656,0.12604432923656267,0.12604432923656267,0.6366378426190168
Isolation Forest | Bootstrap on,Bootstrap on,raw,61,0.6373720466885778,0.16427393819341313,0.12408135017707592,0.12408135017707592,0.5823913393446748
