algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Isolation Forest | Trees 400,Trees 400,medium,84,0.7453334473837049,0.18614477974026652,0.16589548776756655,0.16589548776756655,0.8525326202365077
Isolation Forest | Seed 7,Seed 7,medium,84,0.7582412931913961,0.18434926389620404,0.16425942266144208,0.16425942266144208,0.43853346428416745
Isolation Forest | Max feat 0.6,Max feat 0.6,medium,84,0.7451677083138314,0.18522082992133096,0.16410690689823731,0.16410690689823731,1.2546583000006475
Isolation Forest | Baseline,Baseline,medium,84,0.738887476139947,0.18319539822544106,0.1552914514181847,0.1552914514181847,0.4566384095239863
Isolation Forest | Max samples auto,Max samples auto,medium,84,0.738887476139947,0.18319539822544106,0.1552914514181847,0.1552914514181847,0.43750846547689953
Isolation Forest | Bootstrap on,Bootstrap on,medium,84,0.7428462423160246,0.18471541047620865,0.15392717318956084,0.15392717318956084,0.4056409976197063
Isolation Forest | Trees 400,Trees 400,long,44,0.4385856052563246,0.08040320292969744,0.02734657324952278,0.02734657324952278,1.8494152204551606
Isolation Forest | Seed 7,Seed 7,long,44,0.4382938486261198,0.07986851499530208,0.02674620658251211,0.02674620658251211,0.9457466681792126
Isolation Forest | Max feat 0.6,Max feat 0.6,long,44,0.4370593129710084,0.08052449853371603,0.0266911359922289,0.0266911359922289,6.668459143180701
Isolation Forest | Baseline,Baseline,long,44,0.43132870072070734,0.0784330141857202,0.023876028575987085,0.023876028575987085,0.9292015000008343
Isolation Forest | Max samples auto,Max samples auto,long,44,0.43132870072070734,0.0784330141857202,0.023876028575987085,0.023876028575987085,0.9541990204551521
Isolation Forest | Bootstrap on,Bootstrap on,long,44,0.42908221964949805,0.07868047824119814,0.02278931671604243,0.02278931671604243,0.8448330340906978
