algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Local Outlier Factor | Baseline,Baseline,sparse,125,0.8323766547963759,0.22111546031704168,0.08964196310540928,0.08964196310540928,1.4470264176020864
Local Outlier Factor | Leaf size 60,Leaf size 60,sparse,125,0.8323605901033052,0.22111546031704168,0.08964196310540928,0.08964196310540928,1.505888337601209
Local Outlier Factor | Search brute,Search brute,sparse,125,0.832372968663032,0.22111538130459846,0.08964180890561706,0.08964180890561706,1.5092969455989078
Local Outlier Factor | Metric manhattan,Metric manhattan,sparse,125,0.817102047208358,0.1860956122004759,0.0812708330046687,0.0812708330046687,16.904375572799704
Local Outlier Factor | p = 1,p = 1,sparse,125,0.817102047208358,0.1860956122004759,0.0812708330046687,0.0812708330046687,16.61020892080059
Local Outlier Factor | Neighbors 10,Neighbors 10,sparse,125,0.7518499704756452,0.17654787990693666,0.07556939428360004,0.07556939428360004,1.439804107199656
Local Outlier Factor | Baseline,Baseline,moderate,37,0.6897079997516083,0.25856955879290605,0.23086779512140654,0.23086779512140654,0.9056740162140576
Local Outlier Factor | Leaf size 60,Leaf size 60,moderate,37,0.6897079997516083,0.25856955879290605,0.23086779512140654,0.23086779512140654,0.8154182918920383
Local Outlier Factor | Search brute,Search brute,moderate,37,0.6897079997516083,0.25856955879290605,0.23086779512140654,0.23086779512140654,0.8170289891941875
Local Outlier Factor | p = 1,p = 1,moderate,36,0.6998545594202846,0.2480625420238466,0.20731807789287326,0.20731807789287326,8.451253327770651
Local Outlier Factor | Metric manhattan,Metric manhattan,moderate,37,0.6973011512225199,0.2443355727572445,0.2030220533917939,0.2030220533917939,10.283150186482974
Local Outlier Factor | Neighbors 10,Neighbors 10,moderate,37,0.616793642338259,0.21119528240176147,0.15240625555814408,0.15240625555814408,0.8110666351355109
