algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Local Outlier Factor | Baseline,Baseline,distorted,56,0.789019675330465,0.21044957409034737,0.12313399099424394,0.12313399099424394,0.6002715553570722
Local Outlier Factor | Leaf size 60,Leaf size 60,distorted,56,0.789019675330465,0.21044957409034737,0.12313399099424394,0.12313399099424394,0.5616649910693273
Local Outlier Factor | Search brute,Search brute,distorted,56,0.789019675330465,0.21044957409034737,0.12313399099424394,0.12313399099424394,0.5553488303563167
Local Outlier Factor | Metric manhattan,Metric manhattan,distorted,56,0.7820484438056762,0.17541184767392998,0.11499515340574126,0.11499515340574126,6.150634623212682
Local Outlier Factor | p = 1,p = 1,distorted,56,0.7820484438056762,0.17541184767392998,0.11499515340574126,0.11499515340574126,6.204799735714395
Local Outlier Factor | Neighbors 10,Neighbors 10,distorted,56,0.7008975637266095,0.16677292240918537,0.09060124562053339,0.09060124562053339,0.5564261946456099
Local Outlier Factor | Baseline,Baseline,noise,11,0.8848513937128376,0.3387956420207237,0.21217237379021334,0.21217237379021334,0.4606863181847571
Local Outlier Factor | Leaf size 60,Leaf size 60,noise,11,0.8848513937128376,0.3387956420207237,0.21217237379021334,0.21217237379021334,0.462551481815436
Local Outlier Factor | Search brute,Search brute,noise,11,0.8848513937128376,0.3387956420207237,0.21217237379021334,0.21217237379021334,0.4555071636357091
Local Outlier Factor | Metric manhattan,Metric manhattan,noise,11,0.8679015949609149,0.28664714326963225,0.16826430084502816,0.16826430084502816,4.257154918191108
Local Outlier Factor | p = 1,p = 1,noise,11,0.8679015949609149,0.28664714326963225,0.16826430084502816,0.16826430084502816,4.230182918188141
Local Outlier Factor | Neighbors 10,Neighbors 10,noise,11,0.7771189179050629,0.2685014358084082,0.13674548457158842,0.13674548457158842,0.48264081817681226
Local Outlier Factor | Baseline,Baseline,raw,61,0.8098879638111293,0.23111779059325313,0.13812712262484445,0.13812712262484445,0.7512264032781384
Local Outlier Factor | Leaf size 60,Leaf size 60,raw,61,0.8098879638111293,0.23111779059325313,0.13812712262484445,0.13812712262484445,0.7315138688518047
Local Outlier Factor | Search brute,Search brute,raw,61,0.8098879638111293,0.23111779059325313,0.13812712262484445,0.13812712262484445,0.7277690524614194
Local Outlier Factor | Metric manhattan,Metric manhattan,raw,60,0.7953723741671269,0.21612872632401767,0.13175831362334162,0.13175831362334162,7.560067603330148
Local Outlier Factor | p = 1,p = 1,raw,60,0.7953723741671269,0.21612872632401767,0.13175831362334162,0.13175831362334162,7.49481965166439
Local Outlier Factor | Neighbors 10,Neighbors 10,raw,61,0.7344229890087819,0.18048026397138542,0.10602991527794546,0.10602991527794546,0.7134365245874505
