algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Local Outlier Factor | Baseline,Baseline,medium,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1797335595245905
Local Outlier Factor | Leaf size 60,Leaf size 60,medium,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1454622988073554
Local Outlier Factor | Search brute,Search brute,medium,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1468120904759243
Local Outlier Factor | Metric manhattan,Metric manhattan,medium,84,0.8300706745743044,0.21328719959625184,0.16164021202746237,0.16164021202746237,1.5639947285720457
Local Outlier Factor | p = 1,p = 1,medium,84,0.8300706745743044,0.21328719959625184,0.16164021202746237,0.16164021202746237,1.573355480951293
Local Outlier Factor | Neighbors 10,Neighbors 10,medium,84,0.7467856392674723,0.17707823627649105,0.11543151916875406,0.11543151916875406,0.14256599166678605
Local Outlier Factor | Baseline,Baseline,long,44,0.7772165489179454,0.25112062590182366,0.08082404183359435,0.08082404183359435,1.5774988227256637
Local Outlier Factor | Leaf size 60,Leaf size 60,long,44,0.7772165489179454,0.25112062590182366,0.08082404183359435,0.08082404183359435,1.5669276977271445
Local Outlier Factor | Search brute,Search brute,long,44,0.7772165489179454,0.25112062590182366,0.08082404183359435,0.08082404183359435,1.5493593159117154
Local Outlier Factor | Neighbors 10,Neighbors 10,long,44,0.6788268249253145,0.1915346296326393,0.07612380242765167,0.07612380242765167,1.545750013634626
Local Outlier Factor | Metric manhattan,Metric manhattan,long,43,0.7287915391505575,0.18669257811771953,0.06089202109559254,0.06089202109559254,16.592854465110914
Local Outlier Factor | p = 1,p = 1,long,43,0.7287915391505575,0.18669257811771953,0.06089202109559254,0.06089202109559254,16.5471654883728
