algorithm_display,ablation_parameter,ablation_role,variant,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
OCSVM | Gamma 0.1,gamma,score_driver,distorted,56,0.055765034889306016,-0.026256309764878444,1.0994377008216343
OCSVM | Train frac 0.20,train_fraction,score_driver,distorted,56,0.010684974400828402,-0.0015912017366560079,1.6091691279473797
OCSVM | Nu 0.10,nu,score_driver,distorted,56,-0.0065131733061664105,0.0021070739427948904,1.4280675346484102
OCSVM | Kernel linear,kernel,score_driver,distorted,56,-0.11311721082714342,-0.35298357341118436,0.25710272401936024
OCSVM | Gamma 0.1,gamma,score_driver,noise,11,0.07555129624588162,-0.04257871931246098,0.9952800417062814
OCSVM | Train frac 0.20,train_fraction,score_driver,noise,11,0.009355934832673697,-0.036893584992005395,1.5584499307858641
OCSVM | Nu 0.10,nu,score_driver,noise,11,0.002299143286009908,0.001489305971133145,1.4396211750841197
OCSVM | Kernel linear,kernel,score_driver,noise,11,-0.11369144250379559,-0.42160218248528347,0.23380804025189902
OCSVM | Gamma 0.1,gamma,score_driver,raw,60,0.07078639056202284,-0.021455528558582793,1.0100414348472901
OCSVM | Train frac 0.20,train_fraction,score_driver,raw,60,0.0027764242184756894,-0.0021130079418903184,1.6001478275234244
OCSVM | Nu 0.10,nu,score_driver,raw,60,-0.003032250764416104,0.004730505651668887,1.4333539447509636
OCSVM | Kernel linear,kernel,score_driver,raw,60,-0.11502620839798361,-0.38433023417602413,0.2724034920088689
