algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
OCSVM | Gamma 0.1,Gamma 0.1,distorted,68,0.7074503214044389,0.26489369409656893,0.20133459526119218,0.20133459526119218,0.5657846338226056
OCSVM | Train frac 0.20,Train frac 0.20,distorted,68,0.733021023776528,0.25849865830325847,0.15974709957246847,0.15974709957246847,1.18863540587892
OCSVM | Baseline,Baseline,distorted,68,0.7351011972083166,0.249212803212832,0.14811908873175272,0.14811908873175272,0.6466739441179122
OCSVM | Nu 0.10,Nu 0.10,distorted,68,0.7384790386380689,0.2370261893197926,0.14017048299716184,0.14017048299716184,1.0051051882358426
OCSVM | Kernel linear,Kernel linear,distorted,68,0.39440327600969,0.047613357536730364,0.05017423840035126,0.05017423840035126,0.17508713087976072
OCSVM | Gamma 0.1,Gamma 0.1,noise,12,0.7249100494741549,0.2844294256629304,0.2469885087872776,0.2469885087872776,0.2895575500078848
OCSVM | Train frac 0.20,Train frac 0.20,noise,12,0.7207532730688263,0.27455214452805027,0.186309427491837,0.186309427491837,0.5374202500000441
OCSVM | Nu 0.10,Nu 0.10,noise,12,0.7583251798592819,0.2684330365183381,0.17984070190739518,0.17984070190739518,0.4995480083307484
OCSVM | Baseline,Baseline,noise,12,0.7550404682985504,0.27003342333637487,0.17773315389521946,0.17773315389521946,0.3203419166748062
OCSVM | Kernel linear,Kernel linear,noise,12,0.4004199253108998,0.06747450735492631,0.07351599826674014,0.07351599826674014,0.07496355833912573
OCSVM | Gamma 0.1,Gamma 0.1,raw,81,0.7303239775518274,0.2766417923391651,0.2012063237984188,0.2012063237984188,0.639179737033699
OCSVM | Train frac 0.20,Train frac 0.20,raw,81,0.7552963704294307,0.24024539343488444,0.14687992476834646,0.14687992476834646,1.2965031160468545
OCSVM | Baseline,Baseline,raw,81,0.7613464433763414,0.24062856649598394,0.14389505343421827,0.14389505343421827,0.7171308037035892
OCSVM | Nu 0.10,Nu 0.10,raw,81,0.7663132709406243,0.2315579983443314,0.13844073048518954,0.13844073048518954,1.149393982720708
OCSVM | Kernel linear,Kernel linear,raw,81,0.41904085527074625,0.05545394946201917,0.052734388263346754,0.052734388263346754,0.19443752345403387
