regime_dimension,regime_value,algorithm_display,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
anomaly_ratio_bucket,moderate,SAND | Init 3000,21,0.8918147985688194,0.5032224672300557,0.5229343571847219,0.5229343571847219,12.642060242853837
anomaly_ratio_bucket,moderate,SAND | Overlap 64,21,0.8915683052990253,0.5095188837578969,0.5024438092461667,0.5024438092461667,40.243150561901054
anomaly_ratio_bucket,moderate,SAND | Baseline,21,0.8891819842587628,0.5058323885294126,0.5018187860404721,0.5018187860404721,12.531307557143183
anomaly_ratio_bucket,moderate,SAND | Subseq x2,21,0.8768789648389502,0.4985611252494235,0.4996982171075476,0.4996982171075476,3.0755729666644975
anomaly_ratio_bucket,moderate,SAND | k = 3,21,0.8756468180804846,0.5008673192034423,0.4995511334600333,0.4995511334600333,7.38010912380525
anomaly_ratio_bucket,moderate,SAND | Alpha 0.7,21,0.8881271346782282,0.48773104338492895,0.4920748370020422,0.4920748370020422,10.101641852386473
anomaly_ratio_bucket,moderate,Matrix Profile | Subseq x1,21,0.9244811099585915,0.5253135267081711,0.4712473021131524,0.4712473021131524,0.10992523809129905
anomaly_ratio_bucket,moderate,Matrix Profile | Baseline,21,0.8675963901205531,0.431559560231877,0.4443925271204718,0.4443925271204718,0.11533387142532904
anomaly_ratio_bucket,moderate,SAND | Batch 1000,21,0.8609705941016039,0.3876297343846376,0.4015780336465861,0.4015780336465861,10.892557509523439
anomaly_ratio_bucket,moderate,OCSVM | Gamma 0.1,21,0.8026456137612437,0.41597526354962705,0.35752910807229765,0.35752910807229765,0.1568354523790601
anomaly_ratio_bucket,moderate,Isolation Forest | Trees 400,21,0.6394776305515735,0.366243547059527,0.3501817527735757,0.3501817527735757,1.1314594047726132
anomaly_ratio_bucket,moderate,Isolation Forest | Seed 7,21,0.6525156677871679,0.3559350732883313,0.3388770490509818,0.3388770490509818,0.5870528809665259
anomaly_ratio_bucket,moderate,Isolation Forest | Max feat 0.6,21,0.6360626597069029,0.3523562465003606,0.3360160424634924,0.3360160424634924,1.9559698047620866
anomaly_ratio_bucket,moderate,DAMP | x_lag x8,21,0.8438867460210491,0.381057642713444,0.33380392262146447,0.33380392262146447,25.107987795235765
anomaly_ratio_bucket,moderate,Isolation Forest | Baseline,21,0.639530796637306,0.363115615933763,0.33187520756103206,0.33187520756103206,0.6647366428487225
anomaly_ratio_bucket,moderate,Isolation Forest | Max samples auto,21,0.639530796637306,0.363115615933763,0.33187520756103206,0.33187520756103206,0.5768322476180314
