algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
PCA | Weighted off,Weighted off,sparse,93,0.568489355655228,0.09332649126134893,0.06543244405303174,0.06543244405303174,0.14190047634364933
PCA | Standardize off,Standardize off,sparse,93,0.5671603041213359,0.09386627242104072,0.06432647926047391,0.06432647926047391,0.12747264301663472
PCA | Baseline,Baseline,sparse,93,0.5681111480639768,0.09379452376783567,0.0642927641459591,0.0642927641459591,0.143681854838618
PCA | Whiten on,Whiten on,sparse,93,0.5681111480639768,0.09379452376783567,0.0642927641459591,0.0642927641459591,0.14611773655977678
PCA | Score comps 2,Score comps 2,sparse,93,0.5680906112767347,0.09348875253909147,0.06338280246172288,0.06338280246172288,0.03428254193740251
PCA | Components 0.95,Components 0.95,sparse,93,0.5639791984818946,0.09290342729046717,0.06313996496545393,0.06313996496545393,0.04723016021464025
PCA | Components 0.95,Components 0.95,moderate,34,0.4215043404993696,0.1407629260930881,0.156769146690469,0.156769146690469,0.05580595294647051
PCA | Weighted off,Weighted off,moderate,34,0.42171311856971255,0.14065420106089088,0.15614716284084923,0.15614716284084923,0.2031389617674422
PCA | Baseline,Baseline,moderate,34,0.42166679836738286,0.14094426058077272,0.15506731540171725,0.15506731540171725,0.19918729999849077
PCA | Whiten on,Whiten on,moderate,34,0.42166679836738286,0.14094426058077272,0.15506731540171725,0.15506731540171725,0.1901875441176611
PCA | Score comps 2,Score comps 2,moderate,34,0.4216632584157466,0.14094426058077272,0.15506731540171725,0.15506731540171725,0.04456954705443311
PCA | Standardize off,Standardize off,moderate,34,0.42200116147615613,0.14124529738425493,0.15505363336885358,0.15505363336885358,0.1748177117654396
