algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
PCA | Weighted off,Weighted off,distorted,68,0.5133878939369911,0.09866533870520647,0.0746941965251923,0.0746941965251923,0.26160321470695846
PCA | Baseline,Baseline,distorted,68,0.512954068683522,0.09910619435454979,0.07443488614498515,0.07443488614498515,0.2633814205880352
PCA | Whiten on,Whiten on,distorted,68,0.512954068683522,0.09910619435454979,0.07443488614498515,0.07443488614498515,0.2604284088246298
PCA | Standardize off,Standardize off,distorted,68,0.5127148153295786,0.0991851008503662,0.07430945398557466,0.07430945398557466,0.23600358823708062
PCA | Score comps 2,Score comps 2,distorted,68,0.5129661290749359,0.09884498622075594,0.07419782108946152,0.07419782108946152,0.05112743382307915
PCA | Components 0.95,Components 0.95,distorted,68,0.5116459846159083,0.0982774227735624,0.07380615165403685,0.07380615165403685,0.07924034264792945
PCA | Standardize off,Standardize off,noise,12,0.7289166578558338,0.22697359731173605,0.19733481464759062,0.19733481464759062,0.09778589167156794
PCA | Baseline,Baseline,noise,12,0.7294066729120111,0.2268474219609137,0.19720863929676827,0.19720863929676827,0.10942337499727722
PCA | Whiten on,Whiten on,noise,12,0.7294066729120111,0.2268474219609137,0.19720863929676827,0.19720863929676827,0.11064584166888376
PCA | Score comps 2,Score comps 2,noise,12,0.729328553748775,0.2268474219609137,0.19720863929676827,0.19720863929676827,0.029191091661535457
PCA | Weighted off,Weighted off,noise,12,0.7286780704532337,0.2273451569106404,0.19713983109951574,0.19713983109951574,0.10929588333237912
PCA | Components 0.95,Components 0.95,noise,12,0.7250610881488013,0.22712579701865465,0.18737234417594384,0.18737234417594384,0.03681746666309963
PCA | Weighted off,Weighted off,raw,81,0.5263987633613151,0.10456132173428126,0.08215980858246426,0.08215980858246426,0.25661574691256656
PCA | Components 0.95,Components 0.95,raw,81,0.5237691241809316,0.10449973877148744,0.08191912231800384,0.08191912231800384,0.08524353827068142
PCA | Standardize off,Standardize off,raw,81,0.5274858234759215,0.1050930250207197,0.08072463817586613,0.08072463817586613,0.22990738025027105
PCA | Baseline,Baseline,raw,81,0.5281725480318474,0.10497198945488759,0.08060856398903843,0.08060856398903843,0.25633087901457463
PCA | Whiten on,Whiten on,raw,81,0.5281725480318474,0.10497198945488759,0.08060856398903843,0.08060856398903843,0.2556963345667571
PCA | Score comps 2,Score comps 2,raw,81,0.5283021233391891,0.10484074201657008,0.07976042551103105,0.07976042551103105,0.05354854814998547
