algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
PCA | Weighted off,Weighted off,medium,84,0.5855631019228517,0.09485658593496529,0.11005018721720813,0.11005018721720813,0.10092258690461413
PCA | Standardize off,Standardize off,medium,84,0.5842158334021674,0.09486337271085066,0.10840184667107187,0.10840184667107187,0.0914949083359845
PCA | Baseline,Baseline,medium,84,0.5852175656675151,0.09470323859194227,0.10835789510502251,0.10835789510502251,0.10320692142912383
PCA | Whiten on,Whiten on,medium,84,0.5852175656675151,0.09470323859194227,0.10835789510502251,0.10835789510502251,0.10140108452712104
PCA | Score comps 2,Score comps 2,medium,84,0.58520077046852,0.09470861562983963,0.10807652577427956,0.10807652577427956,0.023428492856813386
PCA | Components 0.95,Components 0.95,medium,84,0.5803990533147078,0.09384980872753518,0.10719069913498339,0.10719069913498339,0.02499677857156794
PCA | Components 0.95,Components 0.95,long,77,0.4826550466478881,0.12973336649615097,0.06361969640266933,0.06361969640266933,0.13811883246662188
PCA | Weighted off,Weighted off,long,77,0.4818897779727426,0.12907660723144707,0.06305989747845955,0.06305989747845955,0.40790840779210424
PCA | Baseline,Baseline,long,77,0.4838630859731429,0.12998765433458562,0.06305592758065495,0.06305592758065495,0.40670697272841383
PCA | Whiten on,Whiten on,long,77,0.4838630859731429,0.12998765433458562,0.06305592758065495,0.06305592758065495,0.40559212856792975
PCA | Standardize off,Standardize off,long,77,0.48394583159024596,0.13002963304587756,0.0630389768657829,0.0630389768657829,0.3656961064964877
PCA | Score comps 2,Score comps 2,long,77,0.4840161908207738,0.12961304567503917,0.062261322168813436,0.062261322168813436,0.080472696104991
