dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__subsequence_multiplier,param__kernel,param__nu,param__gamma,param__train_fraction
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,1.652794299996458,0.11736403985371502,0.13572535576962674,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.375949986104282,0.02525201437667037,0.0,0.0,0.0,0.0,0.5245401071625952,0,6262,190,232,0.0,0.0,0.0,0.0,0.0,0.41475833884531793,0.6591861160981448,115,0.0,0.0,0.0,20.0,auto,30.0,minkowski,2.0,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.12975189997814596,0.15871884685742585,0.15953109586186098,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.39372047159929024,0.025925923378685975,0.0,0.0,0.0,0.0,0.6373121344430088,0,6256,196,232,0.0,0.0,0.0,0.0,0.0,0.6032606040620916,0.7950329144225016,115,0.0,0.0,0.0,10.0,auto,30.0,minkowski,2.0,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,1.2215150999836624,0.09869078259530147,0.11801716816790452,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.1023947399362935,0.018308480144724706,0.0,0.0,0.0,0.0,0.452742287099015,0,6238,214,232,0.0,0.0,0.0,0.0,0.0,0.43225767210859245,0.6582884500299223,115,0.0,0.0,0.0,50.0,auto,30.0,manhattan,1.0,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.11038230004487559,0.1254368487631525,0.1367276244283432,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.25451892109500807,0.0058027105725860844,0.0,0.0,0.0,0.0,0.5356197220481821,0,6422,202,60,0.0,0.0,0.0,0.0,0.0,0.7551808367551297,0.9864464891282665,115,0.0,0.0,0.0,20.0,auto,30.0,minkowski,2.0,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.11568369995802641,0.1365328871922162,0.12588062945875766,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.3676580112721417,0.00654880919712572,0.0,0.0,0.0,0.0,0.5141747755684892,0,6490,134,60,0.0,0.0,0.0,0.0,0.0,0.8001023830577811,0.9829443447037701,115,0.0,0.0,0.0,10.0,auto,30.0,minkowski,2.0,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,1.2184466000180691,0.11630267292744224,0.15586583914323693,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.9690217391304348,0.11841535449504487,0.13333333333333333,0.6333333333333333,0.22028985507246376,0.0,0.583900190357153,38,6377,247,22,0.16666666666666666,0.45333333333333337,0.24372759856630824,1.0,0.31666666666666665,0.7988579692798723,0.9994888290444843,115,0.16666666666666666,0.45333333333333337,0.24372759856630824,50.0,auto,30.0,manhattan,1.0,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.16335470002377406,0.13759851070749102,0.15071401571610374,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.43867846377493214,0.0281484942579111,0.0,0.0,0.0,0.0,0.5897405578558021,0,6254,198,232,0.0,0.0,0.0,0.0,0.0,0.4220571967430137,0.6573988448998122,115,0.0,0.0,0.0,20.0,auto,30.0,minkowski,2.0,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.10588789999019355,0.15171614518194523,0.14079827865330535,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.4211357878872095,0.027832266391086245,0.0,0.0,0.0,0.0,0.5741109811418613,0,6318,134,232,0.0,0.0,0.0,0.0,0.0,0.5005130317889904,0.7752842609216039,115,0.0,0.0,0.0,10.0,auto,30.0,minkowski,2.0,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,1.1843992000212893,0.10438607033997485,0.1227538890104169,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.05104338136263549,0.017847991297720085,0.0,0.0,0.0,0.0,0.47264773737122556,0,6241,211,232,0.0,0.0,0.0,0.0,0.0,0.4331763481299333,0.6576900059844405,115,0.0,0.0,0.0,50.0,auto,30.0,manhattan,1.0,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.12131090002367273,0.13457113191512413,0.13980860958453298,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.25985305958132043,0.005860598659779834,0.0,0.0,0.0,0.0,0.5539969606687231,0,6430,194,60,0.0,0.0,0.0,0.0,0.0,0.7491131306027009,0.9860612407739876,115,0.0,0.0,0.0,20.0,auto,30.0,minkowski,2.0,,,,,
