dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.053661599988117814,0.38611536826375553,0.22958648148717406,"{""subsequence_multiplier"": 2}",,,,,,,0.6275376386899545,0.042710696564667076,0.0,0.0,0.0,0.0,1.0748748127252776,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.057734499976504594,0.2531417834589593,0.18124237368389548,"{""subsequence_multiplier"": 1}",,,,,,,0.7346108263676594,0.06453300310892748,0.0,0.0,0.0,0.0,0.7968689045106457,0,6354,98,232,0.0,0.0,0.0,0.0,0.0,0.34145202066463937,0.779473369239976,115,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0779255999950692,0.49165530387739825,0.24831687469757974,"{""subsequence_multiplier"": 4}",,,,,,,0.34782451845992685,0.02604881511762965,0.0,0.0,0.0,0.0,1.2366059279701376,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.05817060003755614,0.37391681283264316,0.24629403045712353,"{""subsequence_multiplier"": 2}",,,,,,,0.9936669685990338,0.5734186832967947,0.0,0.0,0.0,0.5,1.1127989042040138,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.05126199999358505,0.2856547787982268,0.2018283075264251,"{""subsequence_multiplier"": 1}",,,,,,,0.9888134057971014,0.2654138184151872,0.2982456140350877,0.5666666666666667,0.39080459770114945,0.18333333333333332,0.8911397013775022,34,6544,80,26,0.36157735085945397,0.35111111111111115,0.3562673796117056,1.0,0.18888888888888888,0.9487208258527827,0.9995386993816079,115,0.36157735085945397,0.35111111111111115,0.3562673796117056,,,,,,,,,,1.0,,,,,,,,,,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.04939539998304099,0.45521408556374926,0.2770656016249503,"{""subsequence_multiplier"": 4}",,,,,,,0.9774431360708535,0.18524638476644822,0.0,0.0,0.0,0.25,1.2864108904386002,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1339746000012383,0.3916022273639296,0.23905307021357777,"{""subsequence_multiplier"": 2}",,,,,,,0.5969266412980738,0.04067900302987831,0.0,0.0,0.0,0.0,1.1087614380046629,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1129483999684453,0.2618823229019246,0.17200664788384587,"{""subsequence_multiplier"": 1}",,,,,,,0.7395785455458879,0.0625006708901467,0.0,0.0,0.0,0.0,0.7779022665534622,0,6347,105,232,0.0,0.0,0.0,0.0,0.0,0.3800760878857827,0.656493117893477,115,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.09618009999394417,0.49575715378170454,0.2611763471094426,"{""subsequence_multiplier"": 4}",,,,,,,0.3356564123393976,0.02561990276219228,0.0,0.0,0.0,0.0,1.2792861951100323,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0677999000181444,0.3601773261146029,0.2541665061595074,"{""subsequence_multiplier"": 2}",,,,,,,0.980925422705314,0.33486797713100613,0.0,0.0,0.0,0.23333333333333334,1.1226768445931252,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.08275860000867397,0.2579666784742784,0.196314546000483,"{""subsequence_multiplier"": 1}",,,,,,,0.9898324275362318,0.2814572968864427,0.39552238805970147,0.8833333333333333,0.5463917525773195,0.11666666666666667,0.8469103164757275,53,6543,81,7,0.4895833333333333,0.3766666666666667,0.42576559243225914,1.0,0.22083333333333333,0.9566155979527855,0.9999788051067225,115,0.4895833333333333,0.3766666666666667,0.42576559243225914,,,,,,,,,,1.0,,,,,,,,,,,,,,
