dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.12678629998117685,0.34632456312141996,0.16950038061572448,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.7028520961156123,0.27035875037799306,0.5308641975308642,0.1853448275862069,0.2747603833865815,0.44396551724137934,0.8548257049685934,43,6414,38,189,0.2857142857142857,0.2741379310344828,0.2798064232292125,1.0,0.09267241379310345,0.8183528381762972,0.9907960208629977,115,0.2857142857142857,0.2741379310344828,0.2798064232292125,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,2,auto,auto_ablation,Measures whether a linear novelty boundary is sufficient in the embedded window space.,ablation,kernel,Kernel linear,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.016280799987725914,0.38083447069230686,0.1573211250539182,"{""gamma"": ""scale"", ""kernel"": ""linear"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.6526812055069801,0.1814561394670742,0.0,0.0,0.0,0.3620689655172414,0.8527978458540615,0,6432,20,232,0.0,0.0,0.0,0.0,0.0,0.6707360861759426,0.9135248354278874,115,0.0,0.0,0.0,,,,,,,,,,,,,,,,linear,0.05,scale,0.1,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,3,auto,auto_ablation,Measures a more permissive novelty boundary.,ablation,nu,Nu 0.10,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.09656490001361817,0.3451623871484184,0.16940883703932566,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1, ""train_fraction"": 0.1}",,,,,,,0.7029309275926203,0.2697504052733621,0.524390243902439,0.1853448275862069,0.27388535031847133,0.4482758620689655,0.8533888982663954,43,6413,39,189,0.2857142857142857,0.2741379310344828,0.2798064232292125,1.0,0.09267241379310345,0.8161070849936506,0.9907960208629977,115,0.2857142857142857,0.2741379310344828,0.2798064232292125,,,,,,,,,,,,,,,,rbf,0.1,scale,0.1,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,4,auto,auto_ablation,Measures a more local nonlinear boundary than the default `scale` heuristic.,ablation,gamma,Gamma 0.1,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.06682970002293587,0.3064569162812246,0.14572021288588907,"{""gamma"": 0.1, ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.680527422664985,0.3129434845490361,0.520618556701031,0.4353448275862069,0.47417840375586856,0.47413793103448276,0.7436175549388918,101,6359,93,131,0.18181818181818182,0.3741379310344828,0.24471384268395824,1.0,0.21767241379310345,0.8115791982083697,0.9950931457520791,115,0.18181818181818182,0.3741379310344828,0.24471384268395824,,,,,,,,,,,,,,,,rbf,0.05,0.1,0.1,,,,,
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,5,auto,auto_ablation,Measures a longer mostly-normal warmup segment for fitting the boundary.,ablation,train_fraction,Train frac 0.20,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.14981149998493493,0.4071084723699027,0.16715983920541796,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.6904327981700409,0.2552190061634141,0.813953488372093,0.15086206896551724,0.2545454545454545,0.24568965517241378,0.9085879899861566,35,6444,8,197,0.3333333333333333,0.3206896551724138,0.32688927943760987,1.0,0.15086206896551724,0.9454998399510111,0.986124223570441,115,0.3333333333333333,0.3206896551724138,0.32688927943760987,,,,,,,,,,,,,,,,rbf,0.05,scale,0.2,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.10037430003285408,0.36292769023668575,0.14868978031620736,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.9915006038647344,0.33770855602339755,0.03636363636363636,0.03333333333333333,0.034782608695652174,0.08333333333333333,0.8089970311853079,2,6571,53,58,0.013888888888888888,0.22666666666666668,0.026173979984603538,1.0,0.03333333333333333,0.8512308905935477,0.9916118092958308,115,0.013888888888888888,0.22666666666666668,0.026173979984603538,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,2,auto,auto_ablation,Measures whether a linear novelty boundary is sufficient in the embedded window space.,ablation,kernel,Kernel linear,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.017417300026863813,0.40472717924569157,0.14872917901917707,"{""gamma"": ""scale"", ""kernel"": ""linear"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.9866520732689211,0.2440094669224165,0.045454545454545456,0.016666666666666666,0.024390243902439025,0.06666666666666667,0.8509147163032228,1,6603,21,59,0.25,0.21333333333333335,0.23021582733812948,1.0,0.016666666666666666,0.6144898264512269,0.9916093157789746,115,0.25,0.21333333333333335,0.23021582733812948,,,,,,,,,,,,,,,,linear,0.05,scale,0.1,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,3,auto,auto_ablation,Measures a more permissive novelty boundary.,ablation,nu,Nu 0.10,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.11328559997491539,0.3633250352346681,0.1486407394681367,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1, ""train_fraction"": 0.1}",,,,,,,0.9915157004830918,0.3397149895334028,0.03636363636363636,0.03333333333333333,0.034782608695652174,0.08333333333333333,0.8092472536390781,2,6571,53,58,0.013888888888888888,0.22666666666666668,0.026173979984603538,1.0,0.03333333333333333,0.8512308905935477,0.9916118092958308,115,0.013888888888888888,0.22666666666666668,0.026173979984603538,,,,,,,,,,,,,,,,rbf,0.1,scale,0.1,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,4,auto,auto_ablation,Measures a more local nonlinear boundary than the default `scale` heuristic.,ablation,gamma,Gamma 0.1,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.08138650003820658,0.30735520638215,0.1213073695849362,"{""gamma"": 0.1, ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.9825130837359098,0.20796293666570626,0.11940298507462686,0.13333333333333333,0.12598425196850394,0.08333333333333333,0.6712773151369587,8,6565,59,52,0.15057915057915056,0.25333333333333335,0.18888605658934485,1.0,0.06666666666666667,0.8209267843904356,0.9935131158986634,115,0.15057915057915056,0.25333333333333335,0.18888605658934485,,,,,,,,,,,,,,,,rbf,0.05,0.1,0.1,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,5,auto,auto_ablation,Measures a longer mostly-normal warmup segment for fitting the boundary.,ablation,train_fraction,Train frac 0.20,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1724640000029467,0.3710001325049711,0.1450322957208295,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.9814689009661836,0.1843777166806993,0.044444444444444446,0.03333333333333333,0.0380952380952381,0.13333333333333333,0.8060970196674596,2,6581,43,58,0.02631578947368421,0.22666666666666668,0.04715672676837726,1.0,0.03333333333333333,0.9250332468914155,0.9916118092958308,115,0.02631578947368421,0.22666666666666668,0.04715672676837726,,,,,,,,,,,,,,,,rbf,0.05,scale,0.2,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1237276999745518,0.37958859964844854,0.17919439528081949,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.7263231662996771,0.392749058924831,0.7352941176470589,0.10775862068965517,0.18796992481203006,0.4525862068965517,0.9171717854909069,25,6443,9,207,0.3333333333333333,0.28620689655172415,0.30797773654916516,1.0,0.10775862068965517,0.9216258316612103,0.985208501000846,115,0.3333333333333333,0.28620689655172415,0.30797773654916516,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
