algorithm_display,ablation_parameter,ablation_role,variant,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
SAND | Subseq x2,subsequence_multiplier,score_driver,distorted,56,0.027490801332822775,-0.010944267029253283,0.9261703715375426
SAND | Init 3000,init_length,score_driver,distorted,56,0.018545386135047328,0.0021969842908469697,1.22084834207388
SAND | Alpha 0.7,alpha,score_driver,distorted,56,0.016193814659977383,-0.006080518657227073,1.0882141284431948
SAND | Overlap 64,overlap,score_driver,distorted,56,0.01230793427359048,0.001883969304331706,2.2268879299387154
SAND | k = 3,k,score_driver,distorted,56,0.006514164123538605,-0.005564675290153807,0.7860438900552766
SAND | Batch 1000,batch_size,score_driver,distorted,56,-0.041154222059878516,-0.02470624020217996,1.2673059560378719
SAND | Batch 1000,batch_size,score_driver,noise,11,0.00789292417668794,0.016833676457575275,1.0554709537456277
SAND | Overlap 64,overlap,score_driver,noise,11,0.006221750763717209,0.0030306889961234347,2.201940111612544
SAND | k = 3,k,score_driver,noise,11,0.0028168350590716956,0.004929719938907542,0.6308168796346901
SAND | Alpha 0.7,alpha,score_driver,noise,11,-0.011775987186187942,-0.004236497518161747,0.9505560403436921
SAND | Init 3000,init_length,score_driver,noise,11,-0.022912785438396824,0.006728975593389999,0.9914437247553196
SAND | Subseq x2,subsequence_multiplier,score_driver,noise,11,-0.025746795291149427,-0.0034244851856965615,0.822024832379794
SAND | Init 3000,init_length,score_driver,raw,60,0.012307003070762454,0.0052185598156862184,1.1459528224091533
SAND | Alpha 0.7,alpha,score_driver,raw,60,0.008460489487284695,-0.006045632194539644,1.0449318584278404
SAND | k = 3,k,score_driver,raw,60,0.005198478414531194,0.005338770199497438,0.7696464337100919
SAND | Subseq x2,subsequence_multiplier,score_driver,raw,60,0.002382275055968439,0.006997663708867817,0.8819358075975834
SAND | Overlap 64,overlap,score_driver,raw,60,0.001954142258601467,0.007234969019802779,1.614544299962676
SAND | Batch 1000,batch_size,score_driver,raw,60,-0.04908560846408423,-0.008350487684503083,1.2161469766969226
