algorithm_display,ablation_parameter,ablation_role,length_bucket,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
SAND | Subseq x2,subsequence_multiplier,score_driver,medium,84,0.010189091720852092,-0.0009869749319577374,0.8446616892770015
SAND | Init 3000,init_length,score_driver,medium,84,0.008237733231198602,0.0012862605588096917,1.226162873535213
SAND | Overlap 64,overlap,score_driver,medium,84,0.006181645586687727,0.0008263439313194216,1.9977310573547893
SAND | k = 3,k,score_driver,medium,84,0.0033062988143584765,-0.003530510021508985,0.7338089127743844
SAND | Alpha 0.7,alpha,score_driver,medium,84,-0.00244552092117729,-0.003691351594785738,1.069305090163303
SAND | Batch 1000,batch_size,score_driver,medium,84,-0.024783865181890602,-0.011450172959251955,1.104801268303428
SAND | Alpha 0.7,alpha,score_driver,long,43,0.034659788105270706,-0.010227323609648186,1.0295439899663374
SAND | Init 3000,init_length,score_driver,long,43,0.019370966896868604,0.009351571018973936,1.0472761882799326
SAND | Subseq x2,subsequence_multiplier,score_driver,long,43,0.012635416866092146,-0.003436804043356441,0.9970321050899301
SAND | k = 3,k,score_driver,long,43,0.009999022814737446,0.008360329229208624,0.8254949039217278
SAND | Overlap 64,overlap,score_driver,long,43,0.008271485673401744,0.01170988630133183,1.8137282438201003
SAND | Batch 1000,batch_size,score_driver,long,43,-0.07165363027850867,-0.017153342855390018,1.4591820021779105
