algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
SAND | Alpha 0.7,Alpha 0.7,sparse,93,0.9511718639709918,0.2671745913879686,0.21109498746789226,0.21109498746789226,9.049135049461432
SAND | Overlap 64,Overlap 64,sparse,93,0.9605911772284131,0.25838761993081966,0.201429764024977,0.201429764024977,15.392660224728564
SAND | Init 3000,Init 3000,sparse,93,0.9589427673944878,0.25853668437339594,0.19990904237178295,0.19990904237178295,9.16496487634234
SAND | Subseq x2,Subseq x2,sparse,93,0.9534379974191431,0.2710989493156084,0.19946718582105236,0.19946718582105236,7.029506886020235
SAND | k = 3,k = 3,sparse,93,0.9580462752258275,0.2640076765702428,0.19909604626207755,0.19909604626207755,6.833846991398229
SAND | Baseline,Baseline,sparse,93,0.954280791944274,0.25565564123527357,0.19335649228149124,0.19335649228149124,9.39915911505726
SAND | Batch 1000,Batch 1000,sparse,93,0.9524973991923571,0.2134585087127997,0.17246666431281127,0.17246666431281127,12.373409584944165
SAND | Init 3000,Init 3000,moderate,34,0.9110105440597841,0.45636472196624256,0.4618849080323599,0.4618849080323599,10.3662460294119
SAND | Subseq x2,Subseq x2,moderate,34,0.9042779469657363,0.4652092972698953,0.45939602923899087,0.45939602923899087,6.111110961762332
SAND | k = 3,k = 3,moderate,34,0.9003088277650412,0.4452639238651815,0.4400723948457832,0.4400723948457832,6.284792538233245
SAND | Overlap 64,Overlap 64,moderate,34,0.9083479689385239,0.4421815957294042,0.43860796190015305,0.43860796190015305,20.672242147058782
SAND | Baseline,Baseline,moderate,34,0.9087576110043133,0.4405766144560958,0.434957437162098,0.434957437162098,11.588947485292652
SAND | Alpha 0.7,Alpha 0.7,moderate,34,0.8952070772495594,0.41711600039636565,0.42422999830364083,0.42422999830364083,10.177029820585362
SAND | Batch 1000,Batch 1000,moderate,34,0.8636531184916469,0.3162425657862658,0.34024576727482025,0.34024576727482025,12.273844864704776
