algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
SAND | Subseq x2,Subseq x2,distorted,68,0.9377201916390954,0.3258142780391715,0.26362484511944756,0.26362484511944756,8.774101424999518
SAND | Init 3000,Init 3000,distorted,68,0.9510487253465605,0.3188320925918481,0.26134874452129275,0.26134874452129275,13.689430027939071
SAND | Alpha 0.7,Alpha 0.7,distorted,68,0.9413699900979857,0.30332081002876926,0.25111402938643324,0.25111402938643324,13.192243748528949
SAND | k = 3,k = 3,distorted,68,0.9437136535335504,0.3076599445322177,0.2507062594436153,0.2507062594436153,8.97385145293939
SAND | Overlap 64,Overlap 64,distorted,68,0.948728842440795,0.3128821478942664,0.24673442056019218,0.24673442056019218,23.740108564704048
SAND | Baseline,Baseline,distorted,68,0.9488236141272469,0.2996711648783205,0.23807153900843292,0.23807153900843292,13.705520433826143
SAND | Batch 1000,Batch 1000,distorted,68,0.9275779784338213,0.23459602167403187,0.20020128812848342,0.20020128812848342,16.056067758821456
SAND | Batch 1000,Batch 1000,noise,12,0.9123079941638194,0.26347056693979937,0.246351986646982,0.246351986646982,9.528334158327198
SAND | Overlap 64,Overlap 64,noise,12,0.8941120189821127,0.2544814967154798,0.24482007768509217,0.24482007768509217,12.540701900007358
SAND | k = 3,k = 3,noise,12,0.8860950639488038,0.2749794521483168,0.2416989049558338,0.2416989049558338,5.642265941666362
SAND | Baseline,Baseline,noise,12,0.890731093812347,0.26895251530701786,0.2391168061516847,0.2391168061516847,9.185099183334387
SAND | Alpha 0.7,Alpha 0.7,noise,12,0.8879824504597841,0.2682621556253026,0.22832215123101243,0.22832215123101243,9.227693799989842
SAND | Init 3000,Init 3000,noise,12,0.8970867203147006,0.2505383914997881,0.21811341949982097,0.21811341949982097,8.403623158325596
SAND | Subseq x2,Subseq x2,noise,12,0.8750208231330427,0.27215649843943374,0.21551557713479774,0.21551557713479774,5.7815600083316285
SAND | Init 3000,Init 3000,raw,81,0.9214357854325408,0.2745521048634888,0.2318098084940699,0.2318098084940699,18.82968522469408
SAND | Alpha 0.7,Alpha 0.7,raw,81,0.9127448602509975,0.2667733069158984,0.23131197139397916,0.23131197139397916,18.36408957530835
SAND | Subseq x2,Subseq x2,raw,81,0.920237466190605,0.28205923682920203,0.22758663900089812,0.22758663900089812,12.248430561725938
SAND | k = 3,k = 3,raw,81,0.9139938841154056,0.27672333474969846,0.22565396550628727,0.22565396550628727,12.19251867777806
SAND | Overlap 64,Overlap 64,raw,81,0.9248755069233172,0.26789849938920507,0.22203922806731632,0.22203922806731632,23.343158412345666
SAND | Baseline,Baseline,raw,81,0.917615265592837,0.26791207514231,0.22010221885027684,0.22010221885027684,18.75496829629633
SAND | Batch 1000,Batch 1000,raw,81,0.9097574287361211,0.21880194838275838,0.18593872086315005,0.18593872086315005,20.70898520123583
