algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
SAND | Subseq x2,Subseq x2,medium,84,0.9446855497288882,0.34297260896854637,0.3206527185090068,0.3206527185090068,2.387340486903018
SAND | Init 3000,Init 3000,medium,84,0.9469587852196556,0.3347644808054815,0.3187013600193533,0.3187013600193533,5.282248647618135
SAND | Overlap 64,Overlap 64,medium,84,0.9464988685921654,0.3369470182719566,0.3166452723748424,0.3166452723748424,8.747132009524128
SAND | k = 3,k = 3,medium,84,0.9421420146393368,0.3360170908321272,0.31376992560251316,0.31376992560251316,3.197787515475024
SAND | Baseline,Baseline,medium,84,0.9456725246608458,0.3321719533845708,0.3104636267881547,0.3104636267881547,5.693518165477144
SAND | Alpha 0.7,Alpha 0.7,medium,84,0.9419811730660602,0.3249274598027121,0.30801810586697737,0.30801810586697737,4.822074255952473
SAND | Batch 1000,Batch 1000,medium,84,0.934222351701594,0.2915736317944855,0.28567976160626407,0.28567976160626407,5.387857130950752
SAND | Alpha 0.7,Alpha 0.7,long,77,0.9022709594150933,0.23584015826259605,0.16465413770306256,0.16465413770306256,27.145998942854742
SAND | Init 3000,Init 3000,long,77,0.9159495406354189,0.24422788442240614,0.1609708559459707,0.1609708559459707,27.444419955844953
SAND | Subseq x2,Subseq x2,long,77,0.9019593700424338,0.25270581711356294,0.15600475062410626,0.15600475062410626,18.929920670128496
SAND | k = 3,k = 3,long,77,0.9051849946923458,0.2390881056986687,0.15415207736407802,0.15415207736407802,18.141674697402543
SAND | Overlap 64,Overlap 64,long,77,0.9175573586078729,0.23020770042957311,0.14419163797766277,0.14419163797766277,37.93314997142773
SAND | Baseline,Baseline,long,77,0.9103782250377882,0.22601952464458666,0.14035845978001407,0.14035845978001407,27.05316215324822
SAND | Batch 1000,Batch 1000,long,77,0.8992035408851636,0.1603240133166027,0.09914088113622893,0.09914088113622893,31.571434023376938
