dataset_limit,normalization_method,clip_quantile,window_size,window_stride,threshold_method,threshold_value,evaluation_mode,algorithm,algorithm_base_display,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,params_json,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__subsequence_multiplier,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__alpha,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
150,zscore,,,1,sigma,3.0,range,damp,DAMP,DAMP | Baseline,Baseline,damp__tab_01,1,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,,,,,,1.0,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,hbos,HBOS,HBOS | Baseline,Baseline,hbos__tab_01,1,"{""alpha"": 0.09999999999999999, ""n_bins"": 10, ""tol"": 0.5}",,,,,,,,,,,,,,10.0,0.09999999999999999,0.5,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,isolation_forest,Isolation Forest,Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,1,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": 256, ""n_estimators"": 200, ""random_state"": 42}",200.0,256,1.0,False,42.0,,,,,,,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,isolation_forest,Isolation Forest,Isolation Forest | Wide Sample,Wide Sample,isolation_forest__tab_02,2,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": ""auto"", ""n_estimators"": 400, ""random_state"": 42}",400.0,auto,1.0,False,42.0,,,,,,,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,isolation_forest,Isolation Forest,Isolation Forest | Feat 0.6,Feat 0.6,isolation_forest__tab_03,3,"{""bootstrap"": false, ""max_features"": 0.6, ""max_samples"": 256, ""n_estimators"": 400, ""random_state"": 42}",400.0,256,0.6,False,42.0,,,,,,,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,local_outlier_factor,Local Outlier Factor,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,20.0,auto,30.0,minkowski,2.0,,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,local_outlier_factor,Local Outlier Factor,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,10.0,auto,30.0,minkowski,2.0,,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,local_outlier_factor,Local Outlier Factor,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,50.0,auto,30.0,manhattan,1.0,,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,matrix_profile,Matrix Profile,Matrix Profile | Context x1,Context x1,matrix_profile__tab_01,1,"{""subsequence_multiplier"": 1}",,,,,,,,,,,1.0,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,matrix_profile,Matrix Profile,Matrix Profile | Context x2,Context x2,matrix_profile__tab_02,2,"{""subsequence_multiplier"": 2}",,,,,,,,,,,2.0,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,matrix_profile,Matrix Profile,Matrix Profile | Context x4,Context x4,matrix_profile__tab_03,3,"{""subsequence_multiplier"": 4}",,,,,,,,,,,4.0,,,,,,,,,,,,,,
150,zscore,,,1,sigma,3.0,range,ocsvm,OCSVM,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
150,zscore,,,1,sigma,3.0,range,ocsvm,OCSVM,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_02,2,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.09999999999999999, ""train_fraction"": 0.1}",,,,,,,,,,,,,,,,,rbf,0.09999999999999999,scale,0.1,,,,,
150,zscore,,,1,sigma,3.0,range,ocsvm,OCSVM,OCSVM | Warmup 0.20,Warmup 0.20,ocsvm__tab_03,3,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,,,,,,,,,,,rbf,0.05,scale,0.2,,,,,
150,zscore,,,1,sigma,3.0,range,pca,PCA,PCA | Baseline,Baseline,pca__tab_01,1,"{""n_components"": null, ""n_selected_components"": null, ""standardization"": true, ""weighted"": true, ""whiten"": false}",,,,,,,,,,,,,,,,,,,,,,,False,True,True
